"","grps"
"GCST004600",137
"NEALE2_1448_2",138
"SAIGE_454",139
"NEALE2_4990",110
"NEALE2_100001_raw",140
"GCST90007528",141
"GCST90002334",43
"GCST90012793",142
"NEALE2_1289",143
"NEALE2_699_raw",144
"SAIGE_530_1",101
"NEALE2_23128_raw",26
"FINNGEN_R6_KNEE_ARTHROSIS",44
"SAIGE_594_1",145
"FINNGEN_R6_I9_CORATHER",79
"NEALE2_924",146
"NEALE2_2010",147
"GCST90002382",137
"GCST005903",54
"FINNGEN_R6_K11_GIDISEASES",28
"NEALE2_20003_1140871310",130
"NEALE2_1031",148
"NEALE2_20508",149
"NEALE2_2764_raw",150
"FINNGEN_R6_RX_CODEINE_TRAMADOL",28
"FINNGEN_R6_KRA_PSY_ANYMENTAL",65
"FINNGEN_R6_M13_ARTHROSIS",44
"NEALE2_1418_1",151
"NEALE2_3761_raw",152
"NEALE2_3799",153
"GCST90002403",120
"GCST005353",154
"FINNGEN_R6_M13_LOWBACKPAINORANDSCIATICA",28
"SAIGE_351",155
"NEALE2_30190_raw",113
"NEALE2_914_raw",156
"NEALE2_102_raw",157
"GCST90025948",158
"NEALE2_20117_1",159
"SAIGE_250",17
"NEALE2_2247_0",82
"NEALE2_20151_raw",160
"GCST007092",44
"FINNGEN_R6_I9_HEARTFAIL_NS",18
"FINNGEN_R6_OPER_ARTIF_JOINT_MENISC_RESECT",44
"NEALE2_6159_3",161
"GCST006950",162
"NEALE2_93_raw",163
"GCST90025976",164
"SAIGE_530_12",165
"NEALE2_2754_raw",150
"NEALE2_6143_1",166
"NEALE2_22619_0",167
"NEALE2_2724",168
"FINNGEN_R6_M13_SOFTTISSUE",28
"GCST90013405",169
"NEALE2_6149_3",170
"NEALE2_4979",171
"NEALE2_2110",172
"NEALE2_20015_raw",173
"GCST90014290",174
"NEALE2_6149_4",175
"GCST004941",176
"NEALE2_5084_raw",177
"NEALE2_23130_raw",56
"FINNGEN_R6_I9_HYPERTENSION",20
"NEALE2_767_raw",178
"NEALE2_20019_raw",179
"GCST90000050",150
"NEALE2_23107_raw",180
"FINNGEN_R6_ASTHMA_NAS_EXMORE",88
"NEALE2_24004_raw",181
"SAIGE_172",182
"GCST90012112",183
"NEALE2_20003_1140861958",84
"SAIGE_401",20
"FINNGEN_R6_KRA_PSY_SCHIZODEL_EXMORE",184
"GCST005362",64
"GCST006940",104
"FINNGEN_R6_J10_ASTHMACOPDKELA",88
"FINNGEN_R6_I9_DISVEINLYMPH",139
"NEALE2_1418_2",185
"GCST90012114",186
"NEALE2_4277",187
"NEALE2_78_raw",40
"SAIGE_740_11",44
"NEALE2_2867_raw",188
"GCST90038697",189
"NEALE2_20111_1",79
"GCST90038631",190
"GCST90002381",30
"GCST004364",110
"NEALE2_757_raw",191
"NEALE2_6146_2",11
"GCST90014266",192
"NEALE2_1873",193
"FINNGEN_R6_I9_REVASC",79
"GCST90016621",194
"NEALE2_30520_raw",195
"SAIGE_728_7",196
"GCST90016619",197
"GCST90016623",198
"SAIGE_427_2",97
"FINNGEN_R6_O15_PREG_ABORT",199
"GCST011365",79
"NEALE2_20003_1140879802",20
"NEALE2_1170",200
"GCST90012791",201
"NEALE2_4570",202
"FINNGEN_R6_H7_CATARACTSENILE",203
"NEALE2_6159_100",161
"GCST007431",204
"FINNGEN_R6_I9_ANGINA",79
"GCST004772",205
"GCST90025951",206
"NEALE2_3143_raw",47
"SAIGE_244_4",207
"NEALE2_2100",13
"SAIGE_740_1",123
"NEALE2_20002_1465",108
"NEALE2_1568",208
"NEALE2_23098_raw",26
"NEALE2_2030",209
"GCST90002383",5
"FINNGEN_R6_J10_COPDNAS_INCLAVO",48
"NEALE2_1011",210
"SAIGE_459_9",211
"NEALE2_24007_raw",212
"NEALE2_23101_raw",56
"NEALE2_5264_raw",213
"GCST90025979",169
"FINNGEN_R6_M13_ARTHROPATHIES",44
"NEALE2_1598",214
"NEALE2_20485",215
"GCST004695",216
"GCST005314",217
"NEALE2_2375",218
"NEALE2_23114_raw",56
"NEALE2_6146_100",11
"NEALE2_41231_1",219
"NEALE2_20002_1277",98
"SAIGE_208",220
"SAIGE_530_14",221
"FINNGEN_R6_F5_PSYCH",65
"NEALE2_1960",222
"NEALE2_399_raw",223
"SAIGE_960",224
"NEALE2_23126_raw",56
"GCST005068",225
"GCST004630",43
"GCST90025974",226
"GCST90038626",227
"GCST005232",104
"GCST004602",43
"GCST90014242",228
"NEALE2_20002_1265",229
"FINNGEN_R6_J10_ASTHMA_INCLAVO",88
"NEALE2_2395_2",230
"GCST90016602",231
"GCST90002385",232
"NEALE2_1578",233
"GCST90016615",234
"GCST90016675",235
"GCST90038602",49
"GCST90002369",72
"SAIGE_728",196
"NEALE2_20497",236
"GCST90025950",237
"SAIGE_550_2",101
"NEALE2_50_raw",238
"GCST90002363",120
"NEALE2_3393",239
"NEALE2_1468_3",240
"NEALE2_4291",31
"GCST90016614",241
"NEALE2_4080_raw",163
"FINNGEN_R6_I9_HEARTFAIL_AND_CHD",79
"FINNGEN_R6_M13_KNEEDERANGEMENTS",44
"GCST006862",242
"NEALE2_864",243
"NEALE2_1448_3",244
"NEALE2_1418_3",245
"GCST004622",232
"SAIGE_530",101
"GCST004611",232
"NEALE2_728",246
"NEALE2_23105_raw",56
"NEALE2_20002_1226",207
"GCST90002298",30
"FINNGEN_R6_HYPOTHYROIDISM",207
"FINNGEN_R6_KRA_PSY_MOOD_EXMORE",65
"NEALE2_20502",247
"NEALE2_1618",248
"GCST90038635",207
"FINNGEN_R6_AUD",73
"FINNGEN_R6_R18_ABDOMI_PELVIC_PAIN",28
"NEALE2_2000",249
"GCST90025985",250
"GCST006464",251
"GCST90016616",252
"NEALE2_4282",15
"GCST90002328",253
"NEALE2_6179_4",254
"NEALE2_971",255
"NEALE2_4631",256
"NEALE2_20003_1140868226",94
"SAIGE_728_71",196
"NEALE2_2634",257
"NEALE2_1990",258
"GCST006946",249
"NEALE2_2129",259
"NEALE2_874_raw",260
"NEALE2_6138_1",23
"GCST90025997",3
"NEALE2_20152",261
"GCST006620",262
"NEALE2_20003_1141176832",88
"FINNGEN_R6_F5_DEPRESSIO",65
"NEALE2_20548_2",263
"FINNGEN_R6_KELA_DIAB_INSUL_EXMORE",17
"GCST90016624",198
"SAIGE_550_1",24
"SAIGE_418",211
"NEALE2_5112_raw",264
"FINNGEN_R6_J10_LOWCHRON",88
"NEALE2_6150_100",20
"NEALE2_22502",265
"NEALE2_20016_raw",110
"NEALE2_5101_raw",266
"NEALE2_2385",267
"SAIGE_593",268
"GCST004074",103
"FINNGEN_R6_FG_DISVEINLYMPH",139
"GCST90002374",250
"NEALE2_6154_100",81
"NEALE2_4120_raw",40
"GCST90002391",253
"NEALE2_20077",269
"NEALE2_20107_1",79
"FINNGEN_R6_G6_SLEEPAPNO",37
"NEALE2_22506_113",270
"NEALE2_6138_2",19
"NEALE2_6152_8",242
"NEALE2_2316",271
"NEALE2_6157_100",272
"NEALE2_22607_1",273
"GCST90016625",274
"NEALE2_20516",275
"SAIGE_721",122
"NEALE2_48_raw",26
"GCST90025966",276
"NEALE2_20003_1140865634",101
"NEALE2_5119_raw",277
"SAIGE_366",203
"NEALE2_2178",262
"GCST005345",205
"NEALE2_30200_raw",278
"SAIGE_365",279
"GCST90016610",280
"NEALE2_20511",281
"FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS",28
"SAIGE_327_3",37
"GCST003499",282
"SAIGE_411_2",79
"NEALE2_6179_2",283
"NEALE2_1120",284
"FINNGEN_R6_M13_OTHERJOINT",44
"NEALE2_3591",285
"GCST90038684",286
"GCST006701",287
"NEALE2_1100",288
"SAIGE_785",289
"GCST90025964",120
"NEALE2_24016_raw",212
"NEALE2_30120_raw",124
"GCST90025969",5
"NEALE2_6138_100",23
"NEALE2_2395_4",290
"NEALE2_20002_1474",101
"NEALE2_5108_raw",100
"NEALE2_1448_1",244
"NEALE2_4537",291
"FINNGEN_R6_M13_DORSOPATHYOTH",28
"NEALE2_4598",256
"NEALE2_20110_9",17
"NEALE2_6177_1",84
"NEALE2_2159",292
"FINNGEN_R6_DIABETES_FG",17
"FINNGEN_R6_ALCOHOLMENTAL",73
"GCST005195",79
"SAIGE_361",293
"NEALE2_1677",294
"GCST004603",206
"NEALE2_1428_0",295
"SAIGE_401_1",20
"GCST004158",296
"NEALE2_20002_1286",102
"GCST90016673",297
"NEALE2_2926",298
"NEALE2_20510",299
"FINNGEN_R6_T2D_WIDE",17
"NEALE2_3536_raw",300
"GCST90014033",301
"SAIGE_495",88
"NEALE2_6154_3",81
"GCST007430",302
"GCST90025980",303
"FINNGEN_R6_F5_PERSOBEH",65
"GCST90025949",238
"NEALE2_6159_6",304
"FINNGEN_R6_I9_VARICVE",139
"NEALE2_30300_raw",305
"NEALE2_22607_0",306
"NEALE2_20523",307
"GCST006908",308
"GCST90013410",182
"NEALE2_6153_1",84
"FINNGEN_R6_KELA_DIAB_INSUL",17
"NEALE2_23112_raw",26
"NEALE2_20128",309
"NEALE2_4106_raw",40
"NEALE2_1797",310
"FINNGEN_R6_E4_DM2NOCOMP",17
"NEALE2_1883",193
"NEALE2_20107_100",311
"SAIGE_454_1",139
"NEALE2_20403",312
"NEALE2_30210_raw",137
"GCST90002405",232
"NEALE2_6150_4",20
"NEALE2_1259",313
"NEALE2_4717",314
"GCST006941",315
"GCST90014240",316
"NEALE2_4196_raw",317
"NEALE2_135",318
"GCST90002402",206
"GCST90002409",319
"GCST90014325",242
"NEALE2_5012",320
"GCST90038683",321
"NEALE2_30270_raw",164
"GCST005186",322
"NEALE2_1508_1",323
"NEALE2_30110_raw",324
"GCST90016605",325
"GCST90016604",326
"FINNGEN_R6_R18_ABNORMALITI_BREAT",28
"GCST90000513",327
"GCST90007530",133
"FINNGEN_R6_E4_DM2NASCOMP",17
"GCST009763",61
"NEALE2_20107_6",48
"NEALE2_2070",328
"GCST006098",329
"NEALE2_6147_1",177
"FINNGEN_R6_RX_STATIN",84
"GCST90000047",25
"NEALE2_1140",330
"GCST90038616",242
"SAIGE_722",122
"FINNGEN_R6_E4_OBESITYCAL",26
"NEALE2_5263_raw",103
"NEALE2_20550_1",102
"FINNGEN_R6_THYROID_DISORDER_IBD",331
"GCST005194",79
"GCST90038652",68
"NEALE2_20499",13
"NEALE2_6164_3",332
"GCST90025965",333
"NEALE2_2050",334
"FINNGEN_R6_ASTHMA_NAS",88
"NEALE2_5113_raw",266
"NEALE2_4653",335
"GCST006942",336
"NEALE2_24017_raw",212
"NEALE2_30140_raw",38
"FINNGEN_R6_FG_OTHHEART",18
"NEALE2_6162_1",337
"GCST011364",79
"GCST90038619",101
"NEALE2_845",338
"GCST000964",339
"GCST000758",340
"GCST90016670",341
"NEALE2_20536_0",342
"GCST90016671",343
"GCST005327",104
"NEALE2_20446",344
"GCST90002316",124
"NEALE2_1980",162
"GCST90025971",4
"FINNGEN_R6_M13_DORSALGIA",28
"NEALE2_2188",345
"SAIGE_599_4",129
"GCST90014287",278
"NEALE2_41235",346
"SAIGE_735_3",90
"GCST90025977",38
"GCST006952",258
"NEALE2_5102_raw",266
"NEALE2_20479",215
"GCST006696",347
"GCST90038661",95
"NEALE2_20111_100",348
"GCST90025962",43
"GCST006948",349
"NEALE2_23102_raw",56
"SAIGE_278",134
"GCST005523",350
"NEALE2_20514",149
"GCST004623",137
"GCST008403",351
"NEALE2_2415",352
"GCST90025963",43
"GCST005047",17
"GCST90014023",353
"NEALE2_5134_raw",2
"NEALE2_1558",354
"NEALE2_30290_raw",305
"NEALE2_6154_6",355
"NEALE2_6159_8",356
"GCST001837",357
"GCST004939",358
"GCST006475",222
"SAIGE_760",122
"GCST006943",359
"NEALE2_24018_raw",212
"NEALE2_2405",360
"SAIGE_740",123
"NEALE2_1478",361
"NEALE2_30150",30
"GCST006661",290
"GCST000760",121
"GCST005350",362
"NEALE2_884",363
"GCST90000514",364
"FINNGEN_R6_M13_ARTHROSIS_KNEE",44
"NEALE2_5109_raw",365
"NEALE2_6149_6",366
"NEALE2_6152_9",95
"GCST90002346",367
"GCST003497",223
"NEALE2_20498",236
"GCST003837",368
"NEALE2_20519",296
"NEALE2_1279",369
"NEALE2_3144_raw",40
"FINNGEN_R6_M13_MUSCULOSKELETAL",28
"GCST90002322",43
"NEALE2_30080_raw",206
"NEALE2_22606_2",370
"NEALE2_6159_7",371
"NEALE2_20002_1473",84
"NEALE2_5107_raw",264
"SAIGE_564_9",219
"SAIGE_428",372
"NEALE2_5097_raw",2
"NEALE2_1737",373
"NEALE2_20003_1140866738",20
"NEALE2_5105_raw",266
"GCST90016668",374
"GCST90016609",375
"GCST90016622",376
"SAIGE_427",97
"NEALE2_23104_raw",134
"GCST90038601",377
"NEALE2_30070_raw",72
"GCST000998",79
"NEALE2_2060",334
"NEALE2_6159_4",378
"NEALE2_1930",359
"GCST90000529",353
"GCST90038653",189
"NEALE2_1200",216
"NEALE2_3637",379
"NEALE2_1950",380
"NEALE2_20546_3",60
"GCST006951",380
"NEALE2_6162_2",381
"NEALE2_20001_1061",382
"GCST006366",383
"NEALE2_20107_8",384
"FINNGEN_R6_M13_ARTHROSIS_KNEE_PRIM_KNEESURG",44
"NEALE2_3581_raw",168
"GCST006698",347
"NEALE2_398",385
"FINNGEN_R6_T2D_INCLAVO",17
"GCST003839",105
"NEALE2_30040_raw",43
"NEALE2_4548",386
"NEALE2_1468_5",387
"NEALE2_904",329
"GCST90038603",95
"NEALE2_3731",388
"FINNGEN_R6_O15_OEDEM_PROTUR_HYPERT",389
"SAIGE_726",390
"NEALE2_3571",391
"FINNGEN_R6_N14_FEMGENPROL",392
"GCST90025986",322
"NEALE2_1408",393
"NEALE2_20549_3",102
"NEALE2_20153_raw",238
"NEALE2_1940",315
"GCST007432",394
"SAIGE_306",395
"FINNGEN_R6_I9_HEARTFAIL_AND_ANTIHYPERT",18
"NEALE2_1707_2",396
"GCST90002400",397
"NEALE2_1349",398
"NEALE2_1498",399
"NEALE2_20110_8",384
"GCST005180",74
"NEALE2_20002_1138",101
"NEALE2_6164_2",99
"NEALE2_1468_4",400
"GCST004613",38
"SAIGE_496_2",48
"GCST90016666",401
"SAIGE_562",402
"SAIGE_960_2",224
"GCST004988",403
"NEALE2_1060",404
"GCST003769",299
"NEALE2_23111_raw",35
"GCST004131",405
"GCST003401",70
"GCST90002397",164
"NEALE2_23127_raw",35
"NEALE2_3849",406
"NEALE2_20003_1140860696",20
"NEALE2_3063_raw",160
"NEALE2_47_raw",141
"GCST004628",4
"NEALE2_5115_raw",264
"NEALE2_20002_1074",79
"FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN",28
"GCST009760",61
"NEALE2_20536_1",134
"NEALE2_5262_raw",407
"NEALE2_2492",318
"NEALE2_20003_1141191044",207
"GCST90012790",269
"NEALE2_20111_12",408
"NEALE2_5100_raw",264
"GCST90012792",269
"GCST004612",232
"NEALE2_136",352
"SAIGE_574",409
"GCST90002406",232
"GCST007429",410
"GCST003724",375
"GCST002221",121
"NEALE2_23110_raw",411
"GCST90012104",412
"GCST004620",38
"NEALE2_20544_15",413
"GCST90038656",68
"NEALE2_2090",60
"NEALE2_20405_0",414
"GCST90038607",36
"SAIGE_327",37
"SAIGE_535",415
"NEALE2_20110_6",416
"NEALE2_6145_1",417
"FINNGEN_R6_F5_PERSONALITY",65
"FINNGEN_R6_MIGRAINE_TRIPTAN",153
"NEALE2_6138_4",418
"FINNGEN_R6_M13_MENISCUSDERANGEMENTS",44
"NEALE2_6159_5",419
"NEALE2_22506_114",270
"FINNGEN_R6_ALCOHOL_RELATED",73
"NEALE2_1329",420
"NEALE2_4079_raw",131
"NEALE2_6179_100",421
"GCST90038605",79
"GCST90007527",133
"GCST90000048",150
"NEALE2_2277",422
"GCST004624",30
"NEALE2_5104_raw",264
"FINNGEN_R6_M13_HAMMERTOE",423
"NEALE2_4283",15
"GCST006944",424
"NEALE2_20425",102
"GCST90002227",425
"NEALE2_6149_100",426
"GCST90016601",427
"GCST006478",349
"GCST005074",428
"NEALE2_1150_1",429
"NEALE2_2664_5",430
"GCST006906",308
"NEALE2_1468_1",431
"SAIGE_272_11",84
"GCST90016608",375
"NEALE2_2217_raw",432
"NEALE2_20003_1140864992",433
"SAIGE_339",289
"NEALE2_1369",434
"GCST90002401",324
"FINNGEN_R6_RX_ANTIHYP",18
"NEALE2_1588",435
"FINNGEN_R6_ASTHMA_MODE",88
"NEALE2_6164_4",436
"NEALE2_20453",437
"GCST001475",319
"NEALE2_110001",269
"SAIGE_496",48
"NEALE2_20116_0",270
"NEALE2_6147_4",357
"NEALE2_1787",438
"GCST90000293",16
"GCST90000046",439
"GCST90038682",402
"NEALE2_20002_1387",95
"GCST90025998",410
"SAIGE_174",403
"NEALE2_2365",440
"NEALE2_6152_6",51
"GCST004633",278
"NEALE2_2345",441
"GCST90000512",327
"NEALE2_1180",368
"NEALE2_2834",442
"NEALE2_6153_2",20
"NEALE2_20506",443
"NEALE2_2207",444
"GCST000679",445
"GCST90007529",133
"GCST005413",17
"NEALE2_100010",446
"GCST90012857",447
"GCST009984",448
"SAIGE_172_2",182
"NEALE2_20003_1140864752",101
"GCST90025988",72
"NEALE2_5106_raw",266
"NEALE2_24003_raw",181
"NEALE2_1628",449
"FINNGEN_R6_F5_MOOD",65
"SAIGE_272",84
"NEALE2_6179_3",450
"NEALE2_30090_raw",397
"GCST90025989",451
"FINNGEN_R6_N14_ENDOMETRIOSIS_ASRM_STAGE3_4",452
"FINNGEN_R6_DM_PERIPHATHERO",453
"NEALE2_1130",454
"FINNGEN_R6_M13_ROTATORCUFF",390
"NEALE2_4194_raw",157
"GCST90038596",242
"GCST90038638",229
"NEALE2_23125_raw",56
"NEALE2_20003_1141146234",84
"GCST005811",108
"SAIGE_317",73
"NEALE2_5085_raw",177
"GCST90038604",20
"NEALE2_20003_1140874744",17
"SAIGE_411_3",79
"SAIGE_716",44
"NEALE2_20002_1075",79
"GCST004632",455
"NEALE2_20489",456
"FINNGEN_R6_J10_ASTHMA_EXMORE",88
"NEALE2_2794_raw",457
"NEALE2_20107_101",458
"GCST90016620",376
"FINNGEN_R6_M13_ARTHROSIS_INCLAVO",44
"NEALE2_5114_raw",266
"NEALE2_1080",459
"NEALE2_30180_raw",455
"NEALE2_5135_raw",2
"GCST90002388",124
"FINNGEN_R6_J10_ASTHMA_MAIN_EXMORE",88
"NEALE2_5132_raw",2
"NEALE2_1269",460
"SAIGE_530_11",415
"GCST90002379",3
"FINNGEN_R6_M13_ARTHROSIS_OTH",44
"GCST90016672",461
"NEALE2_20127_raw",104
"NEALE2_1538_1",462
"FINNGEN_R6_CARDIAC_ARRHYTM",97
"GCST004601",120
"NEALE2_24019_raw",212
"NEALE2_46_raw",141
"NEALE2_23106_raw",411
"FINNGEN_R6_M13_SPINSTENOSIS",122
"NEALE2_6148_2",98
"NEALE2_21002_raw",26
"FINNGEN_R6_HYPOTHY_PURCHASE",207
"NEALE2_1220",463
"GCST90038621",464
"FINNGEN_R6_G6_CARPTU",155
"GCST003496",23
"GCST90016607",465
"FINNGEN_R6_K11_ENERCOLNONINF",466
"SAIGE_716_9",44
"NEALE2_20421",344
"NEALE2_4101_raw",40
"GCST90012794",467
"GCST90002351",38
"NEALE2_1090",468
"NEALE2_4803_11",469
"NEALE2_3647",470
"GCST006250",110
"FINNGEN_R6_ANTIDEPRESSANTS",65
"GCST009761",61
"GCST90000025",132
"NEALE2_20150_raw",160
"GCST006085",471
"GCST90038654",472
"NEALE2_806",473
"GCST004629",38
"NEALE2_30240_raw",305
"NEALE2_5099_raw",2
"NEALE2_5556",19
"NEALE2_30060_raw",253
"GCST90025991",474
"NEALE2_23123_raw",35
"GCST90038597",101
"FINNGEN_R6_FG_DOAAC",18
"NEALE2_2080",296
"GCST90002304",5
"GCST90002384",5
"GCST90002310",5
"NEALE2_4581",475
"NEALE2_6153_100",20
"NEALE2_3064_raw",476
"GCST90000026",132
"GCST90002396",111
"NEALE2_6164_100",477
"GCST006586",478
"GCST004610",250
"NEALE2_30220_raw",479
"SAIGE_411_4",79
"NEALE2_738",480
"NEALE2_816",473
"NEALE2_30050_raw",43
"GCST90038595",20
"NEALE2_1548",481
"GCST90038651",413
"NEALE2_20495",482
"NEALE2_4968",320
"NEALE2_23108_raw",180
"FINNGEN_R6_N14_ENDOMETRIOSIS_OVARY",452
"NEALE2_23117_raw",56
"FINNGEN_R6_COX_ARTHROSIS",123
"NEALE2_20414",354
"NEALE2_1070",483
"FINNGEN_R6_E4_DM2",17
"GCST006979",40
"GCST90014267",484
"NEALE2_1707_1",396
"NEALE2_1757",485
"NEALE2_24006_raw",486
"NEALE2_1418_6",487
"NEALE2_20003_1140923346",433
"GCST003372",70
"NEALE2_20531",115
"GCST006699",347
"GCST009541",488
"GCST90025945",489
"NEALE2_20117_2",490
"GCST004626",38
"NEALE2_2149",491
"NEALE2_20003_1141194794",20
"NEALE2_20018",31
"GCST90025982",40
"NEALE2_20509",443
"GCST90016596",492
"FINNGEN_R6_E4_DIABETES",17
"GCST002598",23
"GCST006414",97
"NEALE2_1508_3",493
"NEALE2_20117_0",494
"SAIGE_835",44
"FINNGEN_R6_M13_ARTHTROSIS_COX",123
"NEALE2_1538_2",495
"SAIGE_550",496
"NEALE2_20459",386
"GCST90038599",497
"FINNGEN_R6_E4_DM2_STRICT",17
"NEALE2_20107_9",17
"GCST005070",498
"NEALE2_1299",499
"GCST90038664",95
"FINNGEN_R6_M13_SHOULDER",390
"GCST90038609",79
"GCST006268",282
"FINNGEN_R6_I9_HYPTENSESS",18
"NEALE2_21001_raw",134
"GCST90025972",232
"GCST000571",74
"SAIGE_278_1",134
"NEALE2_6160_1",99
"SAIGE_564",28
"GCST90002399",278
"GCST002783",134
"NEALE2_23129_raw",56
"FINNGEN_R6_M13_JOINTOTH",28
"GCST004618",3
"GCST004631",500
"GCST90025975",111
"NEALE2_5116_raw",277
"NEALE2_20023_raw",282
"NEALE2_2714",501
"GCST90025978",204
"NEALE2_20003_1140860806",20
"GCST90025970",232
"SAIGE_455",502
"NEALE2_20022_raw",62
"NEALE2_189_raw",486
"GCST90025957",503
"NEALE2_22127",242
"NEALE2_20512",443
"FINNGEN_R6_M13_SOFTTISSUEOTH",28
"NEALE2_6149_1",504
"NEALE2_23099_raw",35
"NEALE2_404_raw",282
"NEALE2_1249",270
"GCST007091",123
"SAIGE_459",211
"NEALE2_30130_raw",237
"NEALE2_1920",424
"NEALE2_20500",33
"NEALE2_6150_1",79
"NEALE2_4526",505
"NEALE2_20110_100",311
"GCST009762",61
"NEALE2_670_1",506
"FINNGEN_R6_E4_NUTRIDEF",134
