N_cluster	n_traits	study_ids	traits	EFOs	h2s	intercepts	alfa	expected_h2_gip1	expected_rgs	ChatGPT_name	intercept_min	intercept_max	GIP1_intecept	GIP1_h2
./139	5	SAIGE_454;FINNGEN_R6_I9_DISVEINLYMPH;FINNGEN_R6_FG_DISVEINLYMPH;FINNGEN_R6_I9_VARICVE;SAIGE_454_1	"Varicose veins;""""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"""";""""Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (FINNGEN)"""";Varicose veins;Varicose veins of lower extremity"	HP_0002619;MONDO_0004634, EFO_0007352;	0.0257;0.0247;0.0391;0.0288;0.0257	1.0263;1.1596;1.0994;1.1635;1.0285	0.274649177900202;0.270107478853428;0.331025975858685;0.288881033107523;0.275808162867071	0.058969377	0.996501801571435;0.999664981929252;0.973733344647155;0.9901229591951;1.00070691376696	Varicose Veins	1.0263	1.1635	1.1201	0.0611
./141	3	GCST90007528;NEALE2_47_raw;NEALE2_46_raw	Low hand grip strength (60 years and older) (EWGSOP);Hand grip strength (right);Hand grip strength (left)	EFO_0006941	0.0337;0.1148;0.1149	1.0198;1.0712;1.0628	0.255465732485387;-0.489410535041926;-0.490057271654734	0.140464841	0.9570874095311;-0.993427710655262;-0.9943075194774	Hand Grip Strength in Older Adults	1.0198	1.0712	1.0856	0.1414
./150	4	NEALE2_2764_raw;NEALE2_2754_raw;GCST90000050;GCST90000048	Age at last live birth;Age at first live birth;Age at first birth;Age at first birth	EFO_0009440;EFO_0009101	0.0913;0.1698;0.0546;0.0718	1.0178;1.0359;1.0315;1.042	0.299045887633462;0.419874685518847;0.234964956778408;0.269882988197509	0.146202582	0.961034409877772;0.989435163609159;0.976434838115902;0.978024603315643	Age at First Live Birth	1.0178	1.042	1.0814	0.1465
./153	2	NEALE2_3799;FINNGEN_R6_MIGRAINE_TRIPTAN	"Headaches for 3+ months;""""Migraine, single triptan purchase ok & required. ICD-code if available is included"""""	HP_0002315;EFO_0003821	0.0555;0.0167	1.0048;1.1044	0.862135049489719;0.472919307964448	0.069812311	1;1	Chronic Headaches and Migraines	1.0048	1.1044	0.9906	0.0701
./157	2	NEALE2_102_raw;NEALE2_4194_raw	Pulse rate, automated reading;Pulse rate	EFO_0008111;EFO_0004326	0.1411;0.1266	1.0731;1.0232	0.59742686329113;0.565897913562871	0.181275546	1;1	Pulse Rate	1.0232	1.0731	1.0848	0.1817
./16	3	GCST90000294;GCST90000293;GCST90000292	Myocardial fractal dimension (slice 8);Myocardial fractal dimension (slice 7);Myocardial fractal dimension (slice 6)	EFO_0008205	0.2005;0.2168;0.2163	1.0011;1.0049;1.0097	0.362350155602153;0.384373771334258;0.381491977870073	0.263280919	0.977967748261322;0.99764808899515;0.991312127408207	Myocardial Fractal Dimension	1.0011	1.0097	1.0535	0.2623
./163	3	NEALE2_93_raw;NEALE2_4080_raw;GCST90025968	Systolic blood pressure, manual reading;Systolic blood pressure, automated reading;Systolic blood pressure	EFO_0006335	0.1296;0.1337;0.2411	1.0061;1.096;1.1917	0.386282639329854;0.412365463302108;0.538867746953653	0.295495344	0.956766542554683;1.00558751293186;0.978558685003657	Systolic Blood Pressure	1.0061	1.1917	1.0772	0.3343
./17	10	GCST006867;NEALE2_20111_9;NEALE2_2443;FINNGEN_R6_E4_DM2NASCOMP;NEALE2_20110_9;FINNGEN_R6_T2D_WIDE;GCST005047;GCST005413;NEALE2_20003_1140874744;NEALE2_20107_9	"Type 2 diabetes;Diabetes | illnesses of siblings;Diabetes diagnosed by doctor;Type 2 diabetes with other specified/multiple/unspecified complications;Diabetes | illnesses of mother;""""Type 2 diabetes, wide definition"""";Type 2 diabetes;Type 2 diabetes;Gliclazide | treatment/medication code;Diabetes | illnesses of father"	MONDO_0005148;EFO_0000400;EFO_0001360, EFO_0009518;EFO_0001360;EFO_0007010	0.0449;0.0203;0.0435;0.0424;0.0201;0.0264;0.0984;0.0999;0.0103;0.0173	1.0649;1.0086;1.0451;1.2207;1.0144;1.1527;0.9576;1.0029;1.0199;1.0271	0.227377381854616;0.139214715992862;0.220564356244806;0.230507148699282;0.148150686808792;0.182105935163785;0.338140837924483;0.340480399120915;0.112942826689824;0.130151139262063	0.197798878	0.978076976242074;0.890606933024175;0.96391701627882;1.02035292834474;0.952477192920287;1.02157694191627;0.982537240471217;0.981879778798588;1.01435269026843;0.901932148644015	Type 2 Diabetes	0.9576	1.2207	0.9346	0.2057
./177	3	NEALE2_5084_raw;NEALE2_6147_1;NEALE2_5085_raw	Spherical power (right);For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia') | reason for glasses/contact lenses;Spherical power (left)	EFO_0007814;HP_0000545	0.2692;0.0261;0.2687	1.0527;1.0724;1.0544	0.483995110400693;-0.140675729530675;0.483274293419082	0.273300436	1.00014827853353;-0.933597903435607;0.999587477277805	Spherical Power for Myopia	1.0527	1.0724	1.0783	0.2735
./182	3	SAIGE_172;GCST90013410;SAIGE_172_2	Skin cancer;Basal cell carcinoma;Other non-epithelial cancer of skin	MONDO_0002898;EFO_0004193;EFO_0009259	0.0182;0.035;0.0192	1.0182;1.0299;1.0122	0.341018784316294;0.478171627409053;0.35524692257582	0.033642503	0.984089657579836;0.99504298187634;0.998094746676088	Skin Cancer	1.0122	1.0299	1.079	0.0331
./189	3	GCST90038697;GCST90038653;FINNGEN_R6_M13_INTERVERTEB	Disc problem;Back problem;Other intervertebral disc disorders	MONDO_0045002;MONDO_0000812;EFO_0009477	0.0074;0.0143;0.0289	1.009;1.0049;1.089	0.341171507155744;0.467225067524424;0.673770043580738	0.039386784	0.998022895995875;0.983199677162591;0.997347232998091	Back and Disc Problems	1.0049	1.089	1.0295	0.0387
./19	3	NEALE2_6138_3;NEALE2_6138_2;NEALE2_5556	O levels/gcses or equivalent | qualifications;A levels/as levels or equivalent | qualifications;Concept interpolation | fi9	EFO_0004784;	0.0445;0.0905;0.1557	1.02;1.0507;1.0067	0.321892617111621;0.4893237130034;0.64080618783777	0.212985384	0.934363721545937;0.995994477307442;0.994414270069406	Educational Qualifications	1.0067	1.0507	0.9818	0.211
./196	3	SAIGE_728_7;SAIGE_728;SAIGE_728_71	Fasciitis;Disorders of muscle, ligament, and fascia;Contracture of palmar fascia [dupuytren's disease]	HP_0100537;;EFO_1000438	0.0187;0.0168;0.0206	0.9931;1.0035;0.9886	0.346121192492396;0.326888117898878;0.362323470684561	0.020033699	1.0008868399797;0.997291424728165;0.99825259670526	Fasciitis and Contracture of Palmar Fascia	0.9886	1.0035	1.0104	0.0201
./2	8	NEALE2_5098_raw;NEALE2_5134_raw;NEALE2_5097_raw;NEALE2_5135_raw;NEALE2_5132_raw;NEALE2_5099_raw;NEALE2_5096_raw;NEALE2_5133_raw	6mm weak meridian (right);6mm strong meridian (left);6mm weak meridian (left);3mm strong meridian (left);3mm strong meridian (right);3mm weak meridian (right);3mm weak meridian (left);6mm strong meridian (right)	EFO_0007814	0.3679;0.3644;0.3745;0.333;0.3359;0.3487;0.35;0.3633	1.0637;1.0655;1.0593;1.0568;1.0617;1.0604;1.0563;1.0653	0.139204666998861;0.138295763880463;0.140341109509999;0.131776407677464;0.132335512040925;0.135251161708765;0.135397976037975;0.138414128010921	0.416998767	0.995578457465781;0.993816681425185;0.994822464033302;0.990608696433576;0.990508003437377;0.993577205049616;0.992806790933012;0.996171955043753	Eye Meridians	1.0563	1.0655	1.1097	0.4163
./20	10	NEALE2_6177_2;FINNGEN_R6_I9_HYPTENS;SAIGE_401_1;NEALE2_20003_1140879802;NEALE2_6150_4;NEALE2_20003_1140866738;NEALE2_20003_1140860696;NEALE2_6153_2;NEALE2_20003_1141194794;NEALE2_20003_1140860806	Blood pressure medication | medication for cholesterol, blood pressure or diabetes;Hypertension;Essential hypertension;Amlodipine | treatment/medication code;High blood pressure | vascular/heart problems diagnosed by doctor;Atenolol | treatment/medication code;Lisinopril | treatment/medication code;Blood pressure medication | medication for cholesterol, blood pressure, diabetes, or take exogenous hormones;Bendroflumethiazide | treatment/medication code;Ramipril | treatment/medication code	;EFO_0000537;EFO_0007010;EFO_0004325;CHEBI_43755	0.1126;0.0503;0.0741;0.0225;0.1188;0.0162;0.0131;0.1098;0.0303;0.0171	1.0413;1.2326;1.1033;1.0097;1.0773;1.0232;1.0136;1.0362;1.021;1.0152	0.265803274867707;0.184107757382093;0.21453647322561;0.117432354532123;0.275127342771514;0.10393713866026;0.0916949267435849;0.263963332124835;0.13720030673199;0.100907084793766	0.196046645	0.979819288141455;1.01541353408091;0.974870402615002;0.968392376476689;0.987371041442197;1.01010867693894;0.990979139133693;0.985365345120039;0.974964090775545;0.954505547213534	Hypertension and Blood Pressure Medication	1.0097	1.2326	1.0622	0.1943
./207	9	SAIGE_244_4;NEALE2_20002_1226;FINNGEN_R6_HYPOTHYROIDISM;GCST90038635;NEALE2_20003_1141191044;FINNGEN_R6_HYPOTHY_PURCHASE;FINNGEN_R6_HYPOTHY_LEVOTHY;SAIGE_244;GCST90038637	"Hypothyroidism nos;Hypothyroidism/myxoedema | non-cancer illness code, self-reported;Hypothyroidism (congenital or acquired);Thyroid problem (not cancer);Levothyroxine sodium | treatment/medication code;Hypothyroidism and >3 levothyroxin purchases;""""Hypothyroidism, levothyroxin purchases"""";Hypothyroidism;Hypothyroidism or myxedema"	;EFO_1001055, HP_0000836;EFO_0004705;EFO_1000627;EFO_0007010	0.0288;0.0453;0.0752;0.0436;0.0335;0.0746;0.0746;0.028;0.0461	1.0299;1.0591;1.0633;1.0601;1.0394;1.0598;1.0598;1.0282;1.0555	0.133067512833019;0.166721057441748;0.212735333580975;0.157996209081249;0.14381499265697;0.212240868969323;0.212240868969323;0.131301581471949;0.161576435577674	0.118855197	1.00177880492133;1.00077719035516;0.991121167552058;0.966717243659666;1.00387075659693;0.992786000787465;0.992786000787465;1.00250600925317;0.961443137166842	Hypothyroidism	1.0282	1.0633	1.0409	0.1154
./209	2	NEALE2_2030;GCST006945	Guilty feelings;Feeling guilty	;EFO_0009595	0.0508;0.0486	1.0038;1.0105	0.524898644619715;0.513352130820162	0.053452938	0.998851998483872;0.998745377026301	Guilt Feelings	1.0038	1.0105	1.0219	0.0535
./211	3	SAIGE_459_9;SAIGE_418;SAIGE_459	Circulatory disease nec;Nonspecific chest pain;Other disorders of circulatory system	EFO_0000319;HP_0100749	0.0091;0.0221;0.0091	1.018;1.0191;1.0167	0.369334319556537;0.576754332852087;0.368322674945384	0.023956675	0.990972275136627;0.993018327355584;0.988257900357841	Nonspecific Chest Pain and Circulatory Disorders	1.0167	1.0191	1.0108	0.0239
./212	5	NEALE2_24007_raw;NEALE2_24016_raw;NEALE2_24017_raw;NEALE2_24018_raw;NEALE2_24019_raw	Particulate matter air pollution (pm2.5) absorbance; 2010;Nitrogen dioxide air pollution; 2005;Nitrogen dioxide air pollution; 2006;Nitrogen dioxide air pollution; 2007;Particulate matter air pollution (pm10); 2007	EFO_0008255;EFO_0007908	0.0097;0.0214;0.0203;0.0231;0.0195	1.0381;1.0577;1.0505;1.0761;1.1526	0.162753253278101;0.241549620902692;0.234109755645108;0.250717244390153;0.225323972049362	0.023426383	0.998639697332754;0.997848222675298;0.99297086804232;0.996880797576112;0.97511336133633	Particulate Matter and Air Pollution	1.0381	1.1526	1.1274	0.0235
./219	2	NEALE2_41231_1;SAIGE_564_9	General episode | hospital episode type;Personal history of diseases of digestive system	;EFO_0000405	0.0191;0.0097	1.1032;1.0066	0.781743768076706;0.54365587031753	0.025300356	0.992326566660641;0.968378389322234	Gastrointestinal diseases	1.0066	1.1032	1.0567	0.0253
./222	3	NEALE2_1960;GCST006475;GCST006947	Fed-up feelings;Depressed affect;Feeling fed-up	EFO_0009588;EFO_0003761, EFO_0004247	0.0693;0.0876;0.0641	1.0253;1.0368;1.0286	0.356787403445267;0.398409685914526;0.344553548171443	0.087475301	0.9903859545082;0.983647317797459;0.994464509846934	Depression symptoms	1.0253	1.0368	1.068	0.0875
./223	2	NEALE2_399_raw;GCST003497	Number of incorrect matches in round;Memory performance	EFO_0008354;EFO_0004874	0.0571;0.0428	1.014;0.9989	0.648460468705461;0.561161376831007	0.073351632	0.999412792476954;0.998953654384106	Memory performance	0.9989	1.014	1.0403	0.0731
./224	2	SAIGE_960;SAIGE_960_2	Poisoning by antibiotics;Allergy/adverse effect of penicillin	EFO_0008546	0.0117;0.0101	1.0148;1.0117	0.528932457113713;0.491437138627538	0.011363904	1;1	Antibiotic adverse effects	1.0117	1.0148	1.0229	0.0114
./229	3	NEALE2_20002_1265;GCST90038638;GCST90038646	Migraine | non-cancer illness code, self-reported;Neurological disease;Migraine	EFO_0003821;EFO_0000618;MONDO_0005277	0.0172;0.0126;0.018	1.0097;0.9973;1.0014	0.403010588016452;0.336720786548662;0.405454532505517	0.020777976	1.00626391764545;0.982300402610666;0.989613416498294	Migraine	0.9973	1.0097	1.0487	0.0211
./23	5	NEALE2_22501_raw;NEALE2_6138_6;NEALE2_6138_1;NEALE2_6138_100;GCST003496	Year ended full time education;Other professional qualifications eg: nursing, teaching | qualifications;College or university degree | qualifications;None of the above | qualifications;Educational attainment	EFO_0004784;	0.1454;0.0433;0.1609;0.1026;0.1524	1.0405;1.0215;1.1094;1.0611;1.0343	0.344085874556185;0.174132945902401;0.364123379176464;-0.291064723483083;0.353175504689899	0.290255554	0.990627405992569;0.918676689585535;0.996543452484371;-0.99756588863989;0.993170448132808	Educational attainment	1.0215	1.1094	1.024	0.2862
./24	2	FINNGEN_R6_K11_HERING;SAIGE_550_1	Inguinal hernia;Inguinal hernia	HP_0000023	0.0272;0.0236	1.0717;1.0023	0.712452608633672;0.663632322606897	0.048158226	1;1	Inguinal hernia	1.0023	1.0717	1.0146	0.0469
./242	7	NEALE2_6152_8;GCST90014325;GCST90038616;GCST90038596;NEALE2_22127;NEALE2_20002_1111;NEALE2_20003_1140861998	Asthma | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor;Asthma;Asthma;Respiratory or ear-nose-throat disease;Doctor diagnosed asthma;Asthma | non-cancer illness code, self-reported;Ventolin 100micrograms inhaler | treatment/medication code	EFO_0000270;MONDO_0004979;MONDO_0024623;EFO_0007010	0.0509;0.0443;0.048;0.0376;0.0623;0.0517;0.0164	1.0569;0.9763;1.0737;1.0445;1.0052;1.0564;1.0141	0.199993858390874;0.187229706066969;0.19573234746096;0.172134271908148;0.220630730288829;0.201892251033132;0.113967928367014	0.075585563	0.993037281281464;0.996507743541386;1.00080570295176;0.994446010636248;0.990215601401807;0.994677202356258;0.996938838419335	Asthma	0.9763	1.0737	1.1121	0.0739
./249	2	NEALE2_2000;GCST006946	Worry too long after embarrassment;Worry too long after an embarrassing experience	EFO_0009589	0.0629;0.0596	1.0214;1.0245	0.525259852922347;0.511283144994191	0.065790677	0.999786941848827;0.999762680583335	Post-embarrassment worry	1.0214	1.0245	1.0361	0.0657
./25	2	GCST90000045;GCST90000047	Age at first sexual intercourse;Age at first sexual intercourse	EFO_0009749	0.1602;0.1461	1.0453;1.0785	0.562422593328559;0.535780280267237	0.180131104	0.988405551286425;0.985973608364495	Sexual behavior	1.0453	1.0785	1.1097	0.1791
./253	4	GCST90002328;GCST90002391;NEALE2_30060_raw;GCST004605	Mean corpuscular hemoglobin concentration;Mean corpuscular hemoglobin concentration;Mean corpuscular haemoglobin concentration;Mean corpuscular hemoglobin concentration	EFO_0004528	0.0877;0.0906;0.0397;0.0926	1.1264;1.1164;1.0358;0.9866	0.33815260783663;0.344138127296195;0.224601627079731;0.347621324462228	0.124723468	0.99801279221339;0.999290723473224;0.985237215879461;0.998444847616688	Mean corpuscular hemoglobin concentration	0.9866	1.1264	1.1398	0.1229
./256	3	NEALE2_4631;NEALE2_4598;NEALE2_20126_0	Ever unenthusiastic/disinterested for a whole week;Ever depressed for a whole week;No bipolar or depression | bipolar and major depression status	EFO_0007006;EFO_0007704;	0.0549;0.0637;0.0639	1.003;0.9909;1.0015	0.385691970547939;0.417135768446152;-0.410631702295006	0.085859975	0.981597095867317;0.985567909873775;-0.968681232696855	Depression symptoms	0.9909	1.003	1.0648	0.0858
./258	2	NEALE2_1990;GCST006952	Tense / 'highly strung';Feeling tense	EFO_0009596	0.0554;0.0531	1.0004;1.0011	0.524933170965593;0.51387838474917	0.058435282	0.999065541663579;0.998982626236875	Tension	1.0004	1.0011	1.0117	0.0589
