"","grps"
"FINNGEN_R6_J10_COPD",50
"GCST90014241",138
"GCST004600",139
"NEALE2_1448_2",140
"SAIGE_454",141
"NEALE2_4990",112
"NEALE2_100001_raw",142
"GCST90007528",143
"GCST90002334",45
"GCST90012793",144
"NEALE2_1289",145
"NEALE2_699_raw",146
"GCST003044",147
"SAIGE_530_1",103
"NEALE2_23128_raw",28
"FINNGEN_R6_KNEE_ARTHROSIS",46
"SAIGE_594_1",148
"FINNGEN_R6_I9_CORATHER",81
"NEALE2_924",149
"NEALE2_2010",150
"GCST90002382",139
"GCST005903",56
"FINNGEN_R6_K11_GIDISEASES",30
"NEALE2_20003_1140871310",132
"NEALE2_1031",151
"NEALE2_20508",152
"NEALE2_2764_raw",153
"FINNGEN_R6_RX_CODEINE_TRAMADOL",30
"FINNGEN_R6_KRA_PSY_ANYMENTAL",67
"FINNGEN_R6_M13_ARTHROSIS",46
"NEALE2_1418_1",154
"NEALE2_3761_raw",155
"NEALE2_3799",156
"GCST90002403",122
"GCST005353",157
"FINNGEN_R6_M13_LOWBACKPAINORANDSCIATICA",30
"GCST90012878",158
"SAIGE_351",159
"NEALE2_30190_raw",115
"NEALE2_914_raw",160
"NEALE2_102_raw",161
"GCST90025948",162
"NEALE2_20117_1",163
"SAIGE_250",19
"NEALE2_2247_0",84
"NEALE2_20151_raw",164
"GCST007092",46
"FINNGEN_R6_I9_HEARTFAIL_NS",20
"FINNGEN_R6_OPER_ARTIF_JOINT_MENISC_RESECT",46
"NEALE2_6159_3",165
"GCST006950",166
"NEALE2_93_raw",167
"GCST90025976",168
"SAIGE_530_12",169
"NEALE2_2754_raw",153
"NEALE2_6143_1",170
"NEALE2_22619_0",171
"NEALE2_2724",172
"FINNGEN_R6_M13_SOFTTISSUE",30
"GCST90013405",173
"NEALE2_6149_3",174
"NEALE2_4979",175
"NEALE2_2110",176
"NEALE2_20015_raw",177
"GCST90014290",178
"NEALE2_6149_4",179
"GCST004941",180
"NEALE2_5084_raw",181
"NEALE2_23130_raw",58
"FINNGEN_R6_I9_HYPERTENSION",22
"NEALE2_767_raw",182
"NEALE2_20019_raw",183
"GCST90000050",153
"NEALE2_23107_raw",184
"FINNGEN_R6_ASTHMA_NAS_EXMORE",90
"NEALE2_24004_raw",185
"SAIGE_172",186
"GCST90012112",187
"NEALE2_20003_1140861958",86
"SAIGE_401",22
"FINNGEN_R6_KRA_PSY_SCHIZODEL_EXMORE",188
"GCST005362",66
"GCST006940",106
"FINNGEN_R6_J10_ASTHMACOPDKELA",90
"FINNGEN_R6_I9_DISVEINLYMPH",141
"NEALE2_1418_2",189
"GCST90012114",190
"NEALE2_4277",191
"NEALE2_78_raw",42
"SAIGE_740_11",46
"NEALE2_2867_raw",192
"GCST90038697",193
"NEALE2_20111_1",81
"GCST90038631",194
"GCST90002381",32
"GCST004364",112
"NEALE2_757_raw",195
"GCST90000061",196
"NEALE2_6146_2",11
"GCST90014266",197
"NEALE2_1873",198
"FINNGEN_R6_I9_REVASC",81
"GCST90016621",199
"NEALE2_30520_raw",200
"SAIGE_728_7",201
"GCST90016619",202
"GCST90016623",203
"SAIGE_427_2",99
"GCST002222",123
"FINNGEN_R6_O15_PREG_ABORT",204
"GCST011365",81
"NEALE2_20003_1140879802",22
"NEALE2_1170",205
"GCST90012791",206
"NEALE2_4570",207
"FINNGEN_R6_H7_CATARACTSENILE",208
"NEALE2_6159_100",165
"GCST007431",209
"FINNGEN_R6_I9_ANGINA",81
"GCST004772",210
"GCST90025951",211
"NEALE2_3143_raw",49
"SAIGE_244_4",212
"NEALE2_2100",14
"SAIGE_740_1",125
"NEALE2_20002_1465",110
"NEALE2_1568",213
"NEALE2_23098_raw",28
"NEALE2_2030",214
"GCST90002383",5
"FINNGEN_R6_J10_COPDNAS_INCLAVO",50
"NEALE2_1011",215
"SAIGE_459_9",216
"NEALE2_24007_raw",217
"NEALE2_23101_raw",58
"NEALE2_5264_raw",218
"GCST90025979",173
"FINNGEN_R6_M13_ARTHROPATHIES",46
"NEALE2_1598",219
"NEALE2_20485",220
"GCST004695",221
"GCST005314",222
"NEALE2_2375",223
"NEALE2_23114_raw",58
"NEALE2_6146_100",11
"NEALE2_41231_1",224
"NEALE2_20002_1277",100
"SAIGE_208",225
"SAIGE_530_14",226
"FINNGEN_R6_F5_PSYCH",67
"NEALE2_1960",227
"NEALE2_399_raw",228
"SAIGE_960",229
"NEALE2_23126_raw",58
"GCST005068",230
"GCST004630",45
"GCST90025974",231
"GCST90038626",232
"GCST005232",106
"GCST004602",45
"GCST90014242",233
"NEALE2_20002_1265",234
"FINNGEN_R6_J10_ASTHMA_INCLAVO",90
"NEALE2_2395_2",235
"GCST90016602",236
"GCST90002385",237
"NEALE2_1578",238
"GCST90016615",239
"GCST90016675",240
"GCST90038602",51
"GCST90002369",74
"SAIGE_728",201
"NEALE2_20497",241
"GCST90025950",242
"SAIGE_550_2",103
"NEALE2_50_raw",243
"GCST90002363",122
"NEALE2_3393",244
"NEALE2_1468_3",245
"NEALE2_4291",33
"GCST90016614",246
"NEALE2_4080_raw",167
"FINNGEN_R6_I9_HEARTFAIL_AND_CHD",81
"FINNGEN_R6_M13_KNEEDERANGEMENTS",46
"GCST006862",247
"NEALE2_864",248
"NEALE2_1448_3",249
"NEALE2_1418_3",250
"GCST004622",237
"SAIGE_530",103
"GCST004611",237
"NEALE2_728",251
"NEALE2_23105_raw",58
"NEALE2_20002_1226",212
"GCST90002298",32
"FINNGEN_R6_HYPOTHYROIDISM",212
"FINNGEN_R6_KRA_PSY_MOOD_EXMORE",67
"NEALE2_20502",252
"NEALE2_1618",253
"GCST90038635",212
"FINNGEN_R6_AUD",75
"FINNGEN_R6_R18_ABDOMI_PELVIC_PAIN",30
"NEALE2_2000",254
"GCST90025985",255
"GCST006464",256
"GCST90016616",257
"NEALE2_4282",16
"GCST90002328",258
"NEALE2_6179_4",259
"NEALE2_971",260
"NEALE2_4631",261
"NEALE2_20003_1140868226",96
"SAIGE_728_71",201
"NEALE2_2634",262
"NEALE2_1990",263
"GCST006946",254
"NEALE2_2129",264
"NEALE2_874_raw",265
"NEALE2_6138_1",25
"GCST90025997",3
"NEALE2_20152",266
"GCST006620",267
"NEALE2_20003_1141176832",90
"FINNGEN_R6_F5_DEPRESSIO",67
"NEALE2_20548_2",268
"FINNGEN_R6_KELA_DIAB_INSUL_EXMORE",19
"GCST90016624",203
"SAIGE_550_1",26
"SAIGE_418",216
"NEALE2_5112_raw",269
"FINNGEN_R6_J10_LOWCHRON",90
"NEALE2_6150_100",22
"NEALE2_22502",270
"NEALE2_20016_raw",112
"NEALE2_5101_raw",271
"NEALE2_2385",272
"SAIGE_593",273
"GCST004074",105
"FINNGEN_R6_FG_DISVEINLYMPH",141
"GCST90002374",255
"NEALE2_6154_100",83
"NEALE2_4120_raw",42
"GCST90002391",258
"NEALE2_20077",274
"NEALE2_20107_1",81
"FINNGEN_R6_G6_SLEEPAPNO",39
"NEALE2_22506_113",275
"NEALE2_6138_2",21
"NEALE2_6152_8",247
"NEALE2_2316",276
"NEALE2_6157_100",277
"NEALE2_22607_1",278
"GCST90016625",279
"NEALE2_20516",280
"SAIGE_721",124
"NEALE2_48_raw",28
"GCST90025966",281
"NEALE2_20003_1140865634",103
"NEALE2_5119_raw",282
"SAIGE_366",208
"NEALE2_2178",267
"GCST005345",210
"NEALE2_30200_raw",283
"SAIGE_365",284
"GCST90016610",285
"NEALE2_20511",286
"FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS",30
"SAIGE_327_3",39
"GCST005066",287
"GCST003499",288
"SAIGE_411_2",81
"NEALE2_6179_2",289
"NEALE2_1120",290
"FINNGEN_R6_M13_OTHERJOINT",46
"NEALE2_3591",291
"GCST90038684",13
"GCST006701",292
"NEALE2_1100",293
"SAIGE_785",294
"GCST90025964",122
"NEALE2_24016_raw",217
"NEALE2_30120_raw",126
"GCST90025969",5
"NEALE2_6138_100",25
"NEALE2_2395_4",295
"NEALE2_20002_1474",103
"NEALE2_5108_raw",102
"NEALE2_1448_1",249
"NEALE2_4537",296
"FINNGEN_R6_M13_DORSOPATHYOTH",30
"NEALE2_4598",261
"NEALE2_20110_9",19
"NEALE2_6177_1",86
"NEALE2_2159",297
"FINNGEN_R6_DIABETES_FG",19
"FINNGEN_R6_ALCOHOLMENTAL",75
"GCST005195",81
"SAIGE_361",298
"NEALE2_1677",299
"GCST004603",211
"NEALE2_1428_0",300
"SAIGE_401_1",22
"GCST004158",301
"NEALE2_20002_1286",104
"GCST90016673",302
"NEALE2_2926",303
"NEALE2_20510",304
"FINNGEN_R6_T2D_WIDE",19
"NEALE2_3536_raw",305
"GCST90014033",306
"SAIGE_495",90
"NEALE2_6154_3",83
"GCST007430",307
"GCST90025980",308
"FINNGEN_R6_F5_PERSOBEH",67
"GCST90025949",243
"NEALE2_6159_6",309
"FINNGEN_R6_I9_VARICVE",141
"NEALE2_30300_raw",310
"NEALE2_22607_0",311
"NEALE2_20523",312
"GCST006908",313
"GCST90013410",186
"NEALE2_6153_1",86
"FINNGEN_R6_KELA_DIAB_INSUL",19
"GCST005531",314
"NEALE2_23112_raw",28
"NEALE2_20128",315
"NEALE2_4106_raw",42
"NEALE2_1797",316
"FINNGEN_R6_E4_DM2NOCOMP",19
"NEALE2_1883",198
"NEALE2_20107_100",317
"SAIGE_454_1",141
"NEALE2_20403",318
"NEALE2_30210_raw",139
"GCST90002405",237
"NEALE2_6150_4",22
"NEALE2_1259",319
"NEALE2_4717",320
"GCST006941",321
"GCST90014240",322
"NEALE2_4196_raw",323
"NEALE2_135",324
"GCST90002402",211
"GCST90002409",325
"GCST90014325",247
"NEALE2_5012",326
"GCST90038683",13
"NEALE2_30270_raw",168
"GCST005186",327
"NEALE2_1508_1",328
"NEALE2_30110_raw",329
"GCST90016605",330
"GCST90016604",331
"FINNGEN_R6_R18_ABNORMALITI_BREAT",30
"GCST90000513",332
"GCST90007530",135
"FINNGEN_R6_E4_DM2NASCOMP",19
"GCST009763",63
"NEALE2_20107_6",50
"NEALE2_2070",333
"GCST006098",334
"NEALE2_6147_1",181
"FINNGEN_R6_RX_STATIN",86
"GCST90000047",335
"NEALE2_1140",336
"GCST90038616",247
"SAIGE_722",124
"FINNGEN_R6_E4_OBESITYCAL",28
"NEALE2_5263_raw",105
"NEALE2_20550_1",104
"FINNGEN_R6_THYROID_DISORDER_IBD",337
"GCST005194",81
"GCST90038652",70
"NEALE2_20499",14
"NEALE2_6164_3",338
"GCST90025965",339
"NEALE2_2050",340
"FINNGEN_R6_ASTHMA_NAS",90
"NEALE2_5113_raw",271
"NEALE2_4653",341
"GCST006942",342
"GCST005346",343
"NEALE2_24017_raw",217
"NEALE2_30140_raw",40
"FINNGEN_R6_FG_OTHHEART",20
"NEALE2_6162_1",344
"GCST011364",81
"GCST90038619",103
"NEALE2_845",345
"GCST000964",346
"GCST000758",347
"GCST90016670",348
"NEALE2_20536_0",349
"GCST90016671",350
"GCST005327",106
"NEALE2_20446",351
"GCST90002316",126
"NEALE2_1980",166
"GCST90025971",4
"FINNGEN_R6_M13_DORSALGIA",30
"NEALE2_2188",352
"SAIGE_599_4",131
"GCST90014287",283
"NEALE2_41235",353
"SAIGE_735_3",92
"GCST90025977",40
"GCST006952",263
"NEALE2_5102_raw",271
"NEALE2_20479",220
"GCST006696",354
"GCST90038661",97
"NEALE2_20111_100",355
"GCST90025962",45
"GCST006948",356
"NEALE2_23102_raw",58
"SAIGE_278",136
"GCST005523",357
"NEALE2_20514",152
"GCST004623",139
"GCST008403",358
"NEALE2_2415",359
"GCST90025963",45
"GCST005047",19
"GCST90014023",360
"NEALE2_5134_raw",2
"NEALE2_1558",361
"NEALE2_30290_raw",310
"NEALE2_6154_6",362
"NEALE2_6159_8",363
"GCST001837",364
"GCST004939",365
"GCST006475",227
"SAIGE_760",124
"GCST006943",366
"NEALE2_24018_raw",217
"NEALE2_2405",367
"SAIGE_740",125
"NEALE2_1478",368
"NEALE2_30150",32
"GCST006661",295
"GCST000760",123
"GCST005350",343
"NEALE2_884",369
"GCST90000514",370
"FINNGEN_R6_M13_ARTHROSIS_KNEE",46
"NEALE2_5109_raw",371
"NEALE2_6149_6",372
"NEALE2_6152_9",97
"GCST90002346",373
"GCST003497",228
"NEALE2_20498",241
"GCST003837",374
"NEALE2_20519",301
"NEALE2_1279",375
"NEALE2_3144_raw",42
"FINNGEN_R6_M13_MUSCULOSKELETAL",30
"GCST90002322",45
"NEALE2_30080_raw",211
"NEALE2_22606_2",376
"NEALE2_6159_7",377
"NEALE2_20002_1473",86
"NEALE2_5107_raw",269
"SAIGE_564_9",224
"SAIGE_428",378
"NEALE2_5097_raw",2
"NEALE2_1737",379
"NEALE2_20003_1140866738",22
"NEALE2_5105_raw",271
"GCST90016668",380
"GCST90016609",381
"GCST90016622",382
"SAIGE_427",99
"NEALE2_23104_raw",136
"GCST90038601",383
"NEALE2_30070_raw",74
"GCST000998",81
"NEALE2_2060",340
"NEALE2_6159_4",384
"NEALE2_1930",366
"GCST90000529",360
"GCST90038653",193
"NEALE2_1200",221
"NEALE2_3637",385
"NEALE2_1950",386
"NEALE2_20546_3",62
"GCST006951",386
"NEALE2_6162_2",387
"NEALE2_20001_1061",388
"GCST006366",389
"NEALE2_20107_8",390
"FINNGEN_R6_M13_ARTHROSIS_KNEE_PRIM_KNEESURG",46
"NEALE2_3581_raw",172
"GCST006698",354
"NEALE2_398",391
"FINNGEN_R6_T2D_INCLAVO",19
"GCST003839",107
"NEALE2_30040_raw",45
"NEALE2_4548",392
"NEALE2_1468_5",393
"NEALE2_904",334
"GCST90038603",97
"NEALE2_3731",394
"FINNGEN_R6_O15_OEDEM_PROTUR_HYPERT",395
"SAIGE_726",396
"NEALE2_3571",397
"FINNGEN_R6_N14_FEMGENPROL",398
"GCST90025986",327
"NEALE2_1408",399
"NEALE2_20549_3",104
"NEALE2_20153_raw",243
"NEALE2_1940",321
"GCST007432",400
"SAIGE_306",401
"FINNGEN_R6_I9_HEARTFAIL_AND_ANTIHYPERT",20
"NEALE2_1707_2",402
"GCST90002400",403
"NEALE2_1349",404
"NEALE2_1498",405
"NEALE2_20110_8",390
"GCST005180",76
"NEALE2_20002_1138",103
"NEALE2_6164_2",101
"NEALE2_1468_4",406
"GCST004613",40
"SAIGE_496_2",50
"GCST90016666",407
"SAIGE_562",408
"SAIGE_960_2",229
"GCST004988",409
"NEALE2_1060",410
"GCST003769",304
"NEALE2_23111_raw",37
"GCST004131",147
"GCST003401",72
"GCST90002397",168
"NEALE2_23127_raw",37
"NEALE2_3849",411
"NEALE2_20003_1140860696",22
"NEALE2_3063_raw",164
"NEALE2_47_raw",143
"GCST004628",4
"NEALE2_5115_raw",269
"NEALE2_20002_1074",81
"FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_DIGES_SYSTEM_ABDOMEN",30
"GCST009760",63
"NEALE2_20536_1",136
"NEALE2_5262_raw",412
"NEALE2_2492",324
"NEALE2_20003_1141191044",212
"GCST90012790",274
"NEALE2_20111_12",413
"NEALE2_5100_raw",269
"GCST90012792",274
"GCST004612",237
"NEALE2_136",359
"SAIGE_574",414
"GCST90002406",237
"GCST007429",415
"GCST003724",381
"GCST002221",123
"NEALE2_23110_raw",416
"GCST90012104",417
"GCST004620",40
"NEALE2_20544_15",418
"GCST90038656",70
"NEALE2_2090",62
"NEALE2_20405_0",419
"GCST90038607",38
"SAIGE_327",39
"GCST005063",287
"SAIGE_535",420
"NEALE2_20110_6",421
"NEALE2_6145_1",422
"FINNGEN_R6_F5_PERSONALITY",67
"FINNGEN_R6_MIGRAINE_TRIPTAN",156
"NEALE2_6138_4",423
"FINNGEN_R6_M13_MENISCUSDERANGEMENTS",46
"NEALE2_6159_5",424
"NEALE2_22506_114",275
"FINNGEN_R6_ALCOHOL_RELATED",75
"NEALE2_1329",425
"NEALE2_4079_raw",133
"NEALE2_6179_100",426
"GCST90038605",81
"GCST90007527",135
"GCST90000048",153
"NEALE2_2277",427
"GCST004624",32
"NEALE2_5104_raw",269
"FINNGEN_R6_M13_HAMMERTOE",428
"NEALE2_4283",16
"GCST006944",429
"NEALE2_20425",104
"GCST90002227",430
"NEALE2_6149_100",431
"GCST90016601",432
"GCST006478",356
"GCST005074",433
"NEALE2_1150_1",434
"NEALE2_2664_5",435
"GCST006906",313
"NEALE2_1468_1",436
"SAIGE_272_11",86
"GCST90016608",381
"NEALE2_2217_raw",437
"NEALE2_20003_1140864992",438
"SAIGE_339",294
"NEALE2_1369",439
"GCST90002401",329
"FINNGEN_R6_RX_ANTIHYP",20
"NEALE2_1588",440
"FINNGEN_R6_ASTHMA_MODE",90
"NEALE2_6164_4",441
"NEALE2_20453",442
"GCST001475",325
"NEALE2_110001",274
"SAIGE_496",50
"NEALE2_20116_0",275
"NEALE2_6147_4",364
"NEALE2_1787",443
"GCST90000293",17
"GCST90000046",335
"GCST90038682",408
"NEALE2_20002_1387",97
"GCST90025998",415
"SAIGE_174",409
"NEALE2_2365",444
"NEALE2_6152_6",53
"GCST004633",283
"NEALE2_2345",445
"GCST90000512",332
"NEALE2_1180",374
"NEALE2_2834",446
"NEALE2_6153_2",22
"NEALE2_20506",447
"NEALE2_2207",448
"GCST000679",449
"GCST90007529",135
"GCST005413",19
"NEALE2_100010",450
"GCST90012857",451
"GCST009984",452
"SAIGE_172_2",186
"NEALE2_20003_1140864752",103
"GCST90025988",74
"NEALE2_5106_raw",271
"NEALE2_24003_raw",185
"NEALE2_1628",453
"FINNGEN_R6_F5_MOOD",67
"SAIGE_272",86
"NEALE2_6179_3",454
"NEALE2_30090_raw",403
"GCST90025989",455
"FINNGEN_R6_N14_ENDOMETRIOSIS_ASRM_STAGE3_4",456
"FINNGEN_R6_DM_PERIPHATHERO",457
"GCST003043",13
"NEALE2_1130",458
"FINNGEN_R6_M13_ROTATORCUFF",396
"NEALE2_4194_raw",161
"GCST90038596",247
"GCST90038638",234
"NEALE2_23125_raw",58
"NEALE2_20003_1141146234",86
"GCST005811",110
"SAIGE_317",75
"NEALE2_5085_raw",181
"GCST90038604",459
"NEALE2_20003_1140874744",19
"SAIGE_411_3",81
"SAIGE_716",46
"NEALE2_20002_1075",81
"GCST004632",460
"NEALE2_20489",461
"FINNGEN_R6_J10_ASTHMA_EXMORE",90
"NEALE2_2794_raw",462
"NEALE2_20107_101",463
"GCST90016620",382
"FINNGEN_R6_M13_ARTHROSIS_INCLAVO",46
"NEALE2_5114_raw",271
"NEALE2_1080",464
"NEALE2_30180_raw",460
"NEALE2_5135_raw",2
"GCST90002388",126
"FINNGEN_R6_J10_ASTHMA_MAIN_EXMORE",90
"NEALE2_5132_raw",2
"NEALE2_1269",465
"SAIGE_530_11",420
"GCST90002379",3
"FINNGEN_R6_M13_ARTHROSIS_OTH",46
"GCST90016672",466
"NEALE2_20127_raw",106
"NEALE2_1538_1",467
"FINNGEN_R6_CARDIAC_ARRHYTM",99
"GCST004601",122
"NEALE2_24019_raw",217
"NEALE2_46_raw",143
"NEALE2_23106_raw",416
"FINNGEN_R6_M13_SPINSTENOSIS",124
"NEALE2_6148_2",100
"NEALE2_21002_raw",28
"FINNGEN_R6_HYPOTHY_PURCHASE",212
"NEALE2_1220",468
"GCST90038621",469
"FINNGEN_R6_G6_CARPTU",159
"GCST003496",25
"GCST90016607",470
"FINNGEN_R6_K11_ENERCOLNONINF",471
"SAIGE_716_9",46
"NEALE2_20421",351
"NEALE2_4101_raw",42
"GCST90012794",472
"GCST90002351",40
"NEALE2_1090",473
"NEALE2_4803_11",474
"NEALE2_3647",475
"GCST006250",112
"GCST90000062",476
"FINNGEN_R6_ANTIDEPRESSANTS",67
"GCST009761",63
"GCST90000025",134
"NEALE2_20150_raw",164
"GCST006085",477
"GCST90038654",478
"NEALE2_806",479
"GCST004629",40
"NEALE2_30240_raw",310
"NEALE2_5099_raw",2
"NEALE2_5556",21
"NEALE2_30060_raw",258
"GCST90025991",480
"NEALE2_23123_raw",37
"GCST90038597",103
"FINNGEN_R6_FG_DOAAC",20
"NEALE2_2080",301
"GCST90002304",5
"GCST90002384",5
"GCST90002310",5
"NEALE2_4581",481
"NEALE2_6153_100",22
"NEALE2_3064_raw",482
"GCST90000026",134
"GCST90002396",113
"NEALE2_6164_100",483
"GCST006586",484
"GCST004610",255
"NEALE2_30220_raw",485
"SAIGE_411_4",81
"NEALE2_738",486
"NEALE2_816",479
"NEALE2_30050_raw",45
"GCST90038595",459
"NEALE2_1548",487
"GCST90038651",418
"NEALE2_20495",488
"NEALE2_4968",326
"NEALE2_23108_raw",184
"FINNGEN_R6_N14_ENDOMETRIOSIS_OVARY",456
"NEALE2_23117_raw",58
"FINNGEN_R6_COX_ARTHROSIS",125
"NEALE2_20414",361
"NEALE2_1070",489
"FINNGEN_R6_E4_DM2",19
"GCST006979",42
"GCST90014267",490
"NEALE2_1707_1",402
"NEALE2_1757",491
"GCST006810",492
"NEALE2_24006_raw",493
"NEALE2_1418_6",494
"NEALE2_20003_1140923346",438
"GCST003372",72
"NEALE2_20531",117
"GCST006699",354
"GCST009541",495
"GCST90025945",496
"NEALE2_20117_2",497
"GCST004626",40
"NEALE2_2149",498
"NEALE2_20003_1141194794",22
"NEALE2_20018",33
"GCST90025982",42
"NEALE2_20509",447
"GCST90016596",499
"FINNGEN_R6_E4_DIABETES",19
"GCST002598",25
"GCST006414",99
"NEALE2_1508_3",500
"NEALE2_20117_0",501
"SAIGE_835",46
"FINNGEN_R6_M13_ARTHTROSIS_COX",125
"NEALE2_1538_2",502
"SAIGE_550",503
"NEALE2_20459",392
"GCST90038599",504
"FINNGEN_R6_E4_DM2_STRICT",19
"NEALE2_20107_9",19
"GCST005070",287
"NEALE2_1299",505
"GCST90038664",97
"FINNGEN_R6_M13_SHOULDER",396
"GCST90038609",81
"GCST006268",288
"FINNGEN_R6_I9_HYPTENSESS",20
"NEALE2_21001_raw",136
"GCST90025972",237
"GCST000571",76
"SAIGE_278_1",136
"NEALE2_6160_1",101
"SAIGE_564",30
"GCST90002399",283
"GCST002783",136
"NEALE2_23129_raw",58
"FINNGEN_R6_M13_JOINTOTH",30
"GCST004618",3
"GCST004631",506
"GCST90025975",113
"NEALE2_5116_raw",282
"NEALE2_20023_raw",288
"NEALE2_2714",507
"GCST90025978",209
"NEALE2_20003_1140860806",22
"GCST90025970",237
"SAIGE_455",508
"NEALE2_20022_raw",64
"NEALE2_189_raw",493
"GCST90025957",509
"NEALE2_22127",247
"NEALE2_20512",447
"FINNGEN_R6_M13_SOFTTISSUEOTH",30
"NEALE2_6149_1",510
"NEALE2_23099_raw",37
"NEALE2_404_raw",288
"NEALE2_20548_1",511
"NEALE2_1249",275
"GCST007091",125
