Trait	Total Observed scale h2	h2_se	Lambda GC	Mean Chi^2	Intercept	int_se	Ratio	Z_h2
NEALE2_23102_raw.results	0.2647	0.0093	2.2027	3.169	1.2332	0.0221	 0.1075 (0.0102)	28.46236559
NEALE2_2139_raw.results	0.1249	0.0044	1.607	1.8392	1.0361	0.0118	 0.043 (0.0141)	28.38636364
GCST90000046.results	0.1925	0.0068	1.5585	1.7235	1.0191	0.0096	 0.0263 (0.0133)	28.30882353
NEALE2_23101_raw.results	0.2651	0.0094	2.2027	3.175	1.2357	0.0222	 0.1084 (0.0102)	28.20212766
NEALE2_924.results	0.0789	0.0028	1.4602	1.5853	1.0312	0.0095	 0.0534 (0.0162)	28.17857143
GCST90000025.results	0.3359	0.012	2.7281	4.7284	1.5064	0.0329	 0.1358 (0.0088)	27.99166667
NEALE2_20150_raw.results	0.1982	0.0071	1.7648	2.212	1.1169	0.0136	 0.0964 (0.0112)	27.91549296
NEALE2_137.results	0.0669	0.0024	1.4069	1.5077	1.0299	0.0082	 0.0588 (0.0162)	27.875
NEALE2_20116_0.results	0.0944	0.0034	1.5327	1.7252	1.0475	0.0099	 0.0655 (0.0136)	27.76470588
GCST006478.results	0.0888	0.0032	1.4926	1.647	1.0211	0.01	 0.0326 (0.0155)	27.75
GCST90000027.results	0.3704	0.0134	2.0855	3.1558	1.2736	0.0235	 0.1269 (0.0109)	27.64179104
NEALE2_6150_100.results	0.1185	0.0043	1.5957	1.9386	1.0747	0.0138	 0.0796 (0.0147)	27.55813953
NEALE2_23129_raw.results	0.2641	0.0096	2.172	3.1973	1.2544	0.0226	 0.1158 (0.0103)	27.51041667
NEALE2_3062_raw.results	0.1753	0.0064	1.8084	2.3155	1.1432	0.0148	 0.1089 (0.0112)	27.390625
NEALE2_23130_raw.results	0.2628	0.0096	2.1633	3.1843	1.2516	0.0225	 0.1152 (0.0103)	27.375
NEALE2_20151_raw.results	0.2187	0.008	1.8084	2.3539	1.1438	0.0154	 0.1062 (0.0114)	27.3375
GCST90000045.results	0.1602	0.0059	1.5585	1.7224	1.0453	0.0096	 0.0627 (0.0133)	27.15254237
NEALE2_135.results	0.065	0.0024	1.3999	1.4877	1.0254	0.0097	 0.0522 (0.02)	27.08333333
GCST90025998.results	0.2366	0.0088	1.9218	2.5977	1.1554	0.0187	 0.0973 (0.0117)	26.88636364
GCST005063.results	9.1788	0.3436	6.7207	3.6582	2.435	0.0263	 0.5398 (0.0099)	26.71362049
NEALE2_6150_4.results	0.1188	0.0045	1.592	1.9472	1.0773	0.0146	 0.0816 (0.0154)	26.4
NEALE2_1249.results	0.0897	0.0034	1.4602	1.6245	1.0314	0.0097	 0.0502 (0.0156)	26.38235294
GCST90016622.results	0.3742	0.0142	1.6259	1.8282	1.063	0.014	 0.076 (0.0169)	26.35211268
GCST011494.results	0.0813	0.0031	1.5585	1.7818	1.0507	0.0104	 0.0649 (0.0133)	26.22580645
NEALE2_20002_1065.results	0.1178	0.0045	1.592	1.9355	1.071	0.0144	 0.0759 (0.0153)	26.17777778
GCST90012792.results	0.0862	0.0033	1.4281	1.5241	1.0357	0.0091	 0.0681 (0.0173)	26.12121212
NEALE2_1518.results	0.0756	0.0029	1.4316	1.5589	1.02	0.0089	 0.0357 (0.016)	26.06896552
GCST90000050.results	0.0546	0.0021	1.4817	1.6267	1.0315	0.0095	 0.0503 (0.0152)	26
NEALE2_1070.results	0.1033	0.004	1.6145	1.7907	1.0534	0.012	 0.0675 (0.0152)	25.825
GCST006475.results	0.0876	0.0034	1.5108	1.6617	1.0368	0.01	 0.0557 (0.0151)	25.76470588
NEALE2_20023_raw.results	0.0644	0.0025	1.3859	1.4724	1.021	0.009	 0.0445 (0.019)	25.76
NEALE2_404_raw.results	0.0592	0.0023	1.3512	1.4351	1.0192	0.0083	 0.0441 (0.0191)	25.73913043
GCST006950.results	0.072	0.0028	1.4245	1.5484	1.0165	0.0086	 0.0301 (0.0156)	25.71428571
GCST90000048.results	0.0718	0.0028	1.4962	1.6475	1.042	0.0097	 0.0649 (0.015)	25.64285714
GCST006947.results	0.0641	0.0025	1.3999	1.5124	1.0286	0.0089	 0.0559 (0.0174)	25.64
NEALE2_738.results	0.0908	0.0036	1.4853	1.6072	1.0558	0.0102	 0.0919 (0.0167)	25.22222222
NEALE2_1757.results	0.0677	0.0027	1.3685	1.4805	1.039	0.0084	 0.0811 (0.0174)	25.07407407
NEALE2_2237.results	0.0727	0.0029	1.4352	1.5427	1.0314	0.0083	 0.0579 (0.0153)	25.06896552
NEALE2_1190.results	0.0818	0.0033	1.4673	1.6142	1.0317	0.0093	 0.0516 (0.0152)	24.78787879
GCST90014033.results	0.0296	0.0012	1.4387	1.5922	1.0467	0.0093	 0.0788 (0.0158)	24.66666667
GCST002783.results	0.1327	0.0054	1.1396	1.3252	0.7096	0.0083		24.57407407
GCST006268.results	0.0737	0.003	1.3964	1.5035	1.0262	0.0091	 0.0521 (0.0181)	24.56666667
NEALE2_1080.results	0.0954	0.0039	1.4602	1.5632	1.035	0.0095	 0.0621 (0.0169)	24.46153846
NEALE2_2149.results	0.0806	0.0033	1.3859	1.4917	1.0224	0.0088	 0.0456 (0.0179)	24.42424242
NEALE2_20160.results	0.0732	0.003	1.4245	1.5516	1.0283	0.0095	 0.0514 (0.0173)	24.4
GCST009760.results	0.0606	0.0025	1.4281	1.51	1.0305	0.0089	 0.0599 (0.0174)	24.24
GCST90038595.parquet.results	0.0799	0.0033	1.5585	1.8596	1.095	0.0138	 0.1105 (0.016)	24.21212121
GCST90038595.results	0.0799	0.0033	1.5585	1.8596	1.095	0.0138	 0.1105 (0.016)	24.21212121
GCST90000026.results	0.351	0.0145	1.8405	2.7405	1.2104	0.0192	 0.1209 (0.011)	24.20689655
NEALE2_845.results	0.1036	0.0043	1.4387	1.5339	1.0435	0.0093	 0.0815 (0.0173)	24.09302326
GCST90038604.results	0.1077	0.0045	1.6259	2.1673	1.1208	0.0175	 0.1035 (0.015)	23.93333333
NEALE2_4080_raw.results	0.1337	0.0056	1.6792	2.0182	1.096	0.0141	 0.0943 (0.0138)	23.875
GCST90025968.results	0.2411	0.0101	1.9218	2.84	1.1917	0.0237	 0.1042 (0.0129)	23.87128713
GCST005232.results	0.1074	0.0045	1.529	1.7482	1.0243	0.0098	 0.0325 (0.013)	23.86666667
GCST006946.results	0.0596	0.0025	1.3685	1.457	1.0245	0.0096	 0.0536 (0.021)	23.84
NEALE2_1697.results	0.2192	0.0092	1.8606	2.8164	1.2009	0.0232	 0.1106 (0.0128)	23.82608696
NEALE2_30530_raw.results	0.069	0.0029	1.3964	1.4953	1.0243	0.0088	 0.0491 (0.0177)	23.79310345
GCST006944.results	0.0665	0.0028	1.4034	1.5079	1.0157	0.009	 0.031 (0.0178)	23.75
GCST006941.results	0.0617	0.0026	1.3615	1.4572	1.008	0.008	 0.0176 (0.0175)	23.73076923
GCST006951.results	0.0593	0.0025	1.365	1.4505	1.0188	0.0087	 0.0416 (0.0193)	23.72
NEALE2_3064_raw.results	0.1018	0.0043	1.5181	1.7491	1.0661	0.011	 0.0883 (0.0146)	23.6744186
NEALE2_6154_100.results	0.0543	0.0023	1.3443	1.4002	1.0262	0.0082	 0.0654 (0.0204)	23.60869565
NEALE2_1200.results	0.0637	0.0027	1.3789	1.4676	1.0134	0.0083	 0.0286 (0.0179)	23.59259259
NEALE2_400_raw.results	0.0612	0.0026	1.365	1.4397	1.0216	0.0091	 0.0491 (0.0207)	23.53846154
NEALE2_50_raw.results	0.422	0.018	2.5027	4.736	1.4585	0.0355	 0.1227 (0.0095)	23.44444444
NEALE2_1458.results	0.0585	0.0025	1.334	1.4173	1.0281	0.0087	 0.0675 (0.0208)	23.4
NEALE2_2217_raw.results	0.0954	0.0041	1.4387	1.6215	1.0429	0.0094	 0.069 (0.0151)	23.26829268
NEALE2_2754_raw.results	0.1698	0.0073	1.3964	1.4809	1.0359	0.0089	 0.0746 (0.0185)	23.26027397
NEALE2_1448_1.results	0.0581	0.0025	1.3512	1.4277	1.0275	0.0085	 0.0643 (0.0198)	23.24
GCST90012790.results	0.0649	0.0028	1.3685	1.4071	1.0355	0.0098	 0.0872 (0.024)	23.17857143
GCST006945.results	0.0486	0.0021	1.3068	1.3668	1.0105	0.0076	 0.0285 (0.0206)	23.14285714
GCST90012794.results	0.0509	0.0022	1.4281	1.499	1.0476	0.0089	 0.0954 (0.0179)	23.13636364
NEALE2_1050.results	0.0717	0.0031	1.3894	1.4827	1.0207	0.0088	 0.0428 (0.0183)	23.12903226
GCST90025981.results	0.2472	0.0107	2.0007	2.8931	1.1858	0.0231	 0.0981 (0.0122)	23.10280374
GCST006952.results	0.0531	0.0023	1.3203	1.4011	1.0011	0.0083	 0.0027 (0.0208)	23.08695652
NEALE2_399_raw.results	0.0571	0.0025	1.3443	1.4167	1.014	0.0089	 0.0335 (0.0214)	22.84
NEALE2_1558.results	0.0799	0.0035	1.4926	1.6183	1.0513	0.0106	 0.083 (0.0171)	22.82857143
NEALE2_2714.results	0.1957	0.0086	1.5071	1.7642	1.0347	0.01	 0.0454 (0.0131)	22.75581395
GCST006948.results	0.0613	0.0027	1.3789	1.4764	1.0175	0.0096	 0.0368 (0.0202)	22.7037037
NEALE2_1170.results	0.0703	0.0031	1.421	1.5409	1.0444	0.0097	 0.082 (0.018)	22.67741935
NEALE2_3143_raw.results	0.2741	0.0121	1.7413	2.2593	1.1421	0.0157	 0.1128 (0.0125)	22.65289256
NEALE2_2188.results	0.0519	0.0023	1.3135	1.379	1.022	0.0086	 0.0581 (0.0228)	22.56521739
NEALE2_1319.results	0.0629	0.0028	1.3374	1.4239	1.0258	0.0085	 0.0608 (0.02)	22.46428571
NEALE2_20016_raw.results	0.226	0.0101	1.453	1.5689	1.0389	0.0096	 0.0683 (0.0168)	22.37623762
NEALE2_1309.results	0.0604	0.0027	1.334	1.4275	1.0079	0.0086	 0.0184 (0.0201)	22.37037037
GCST006100.results	0.0558	0.0025	1.3101	1.4115	1.0244	0.0092	 0.0594 (0.0224)	22.32
NEALE2_1508_3.results	0.0646	0.0029	1.3272	1.3937	1.0324	0.0079	 0.0823 (0.0201)	22.27586207
GCST90000515.results	0.3095	0.0139	1.1843	1.2479	0.8954	0.0088		22.26618705
NEALE2_1920.results	0.0689	0.0031	1.3894	1.5045	1.0206	0.0092	 0.0408 (0.0181)	22.22580645
GCST90016620.results	0.4354	0.0196	1.4926	1.5965	1.0408	0.0121	 0.0684 (0.0202)	22.21428571
GCST005902.results	0.0621	0.0028	1.3272	1.3947	1.0076	0.0085	 0.0192 (0.0216)	22.17857143
NEALE2_20127_raw.results	0.113	0.0051	1.5071	1.7125	1.029	0.0103	 0.0408 (0.0145)	22.15686275
NEALE2_1210.results	0.0598	0.0027	1.3409	1.4178	1.0242	0.0087	 0.0579 (0.0207)	22.14814815
NEALE2_1478.results	0.0797	0.0036	1.4352	1.6008	1.0299	0.0095	 0.0498 (0.0159)	22.13888889
GCST009761.results	0.0531	0.0024	1.3685	1.4537	1.0333	0.0096	 0.0733 (0.0211)	22.125
GCST90016618.results	0.4156	0.0188	1.4926	1.624	1.0852	0.0125	 0.1366 (0.0201)	22.10638298
GCST90016619.results	0.3934	0.0178	1.3685	1.5098	1.0148	0.0128	 0.0291 (0.0251)	22.1011236
NEALE2_4079_raw.results	0.137	0.0062	1.6296	1.9996	1.0609	0.0239	 0.061 (0.0239)	22.09677419
NEALE2_1160.results	0.0704	0.0032	1.3964	1.5183	1.0221	0.0091	 0.0426 (0.0176)	22
NEALE2_2257.results	0.0504	0.0023	1.3068	1.3742	1.0257	0.0083	 0.0687 (0.0221)	21.91304348
GCST009763.results	0.0698	0.0032	1.2531	1.3152	1.0228	0.0075	 0.0722 (0.0239)	21.8125
GCST90020053.results	0.111	0.0051	1.3512	1.4105	1.0268	0.0085	 0.0652 (0.0206)	21.76470588
NEALE2_2492.results	0.0456	0.0021	1.2831	1.3422	1.0182	0.0079	 0.0532 (0.0231)	21.71428571
NEALE2_1960.results	0.0693	0.0032	1.3999	1.5209	1.0253	0.0094	 0.0485 (0.018)	21.65625
GCST006943.results	0.0584	0.0027	1.3719	1.4516	1.0158	0.0092	 0.035 (0.0203)	21.62962963
NEALE2_1408.results	0.067	0.0031	1.4034	1.4981	1.0238	0.0102	 0.0477 (0.0204)	21.61290323
NEALE2_1100.results	0.0603	0.0028	1.334	1.4053	1.0219	0.0084	 0.054 (0.0207)	21.53571429
NEALE2_1528.results	0.0623	0.0029	1.3546	1.4252	1.0204	0.0088	 0.048 (0.0207)	21.48275862
NEALE2_20154_raw.results	0.1867	0.0087	1.3512	1.4763	1.0366	0.0089	 0.0769 (0.0186)	21.45977011
NEALE2_2316.results	0.0594	0.0028	1.3477	1.4492	1.0291	0.0091	 0.0649 (0.0202)	21.21428571
GCST90016607.results	0.0783	0.0037	1.2531	1.3108	1.0163	0.0075	 0.0525 (0.024)	21.16216216
NEALE2_1618.results	0.0987	0.0047	1.3306	1.3888	1.0351	0.0086	 0.0903 (0.022)	21
NEALE2_20015_raw.results	0.294	0.014	2.1155	3.6047	1.3174	0.0269	 0.1219 (0.0103)	21
NEALE2_2000.results	0.0629	0.003	1.3615	1.4553	1.0214	0.0094	 0.0469 (0.0206)	20.96666667
GCST007430.results	0.1425	0.0068	1.5254	1.9377	1.0147	0.0125	 0.0157 (0.0134)	20.95588235
NEALE2_6149_6.results	0.0544	0.0026	1.3306	1.4152	1.025	0.0086	 0.0601 (0.0207)	20.92307692
NEALE2_2090.results	0.0605	0.0029	1.3477	1.4335	1.0114	0.0091	 0.0262 (0.0209)	20.86206897
NEALE2_2040.results	0.0541	0.0026	1.3135	1.3853	1.011	0.0087	 0.0284 (0.0226)	20.80769231
NEALE2_1468_4.results	0.0499	0.0024	1.2865	1.3137	1.0257	0.0073	 0.0818 (0.0233)	20.79166667
NEALE2_2080.results	0.0582	0.0028	1.3374	1.4228	1.019	0.0087	 0.0449 (0.0206)	20.78571429
GCST90016624.results	0.4501	0.0218	1.3685	1.4724	1.0346	0.0117	 0.0733 (0.0247)	20.64678899
NEALE2_4119_raw.results	0.2804	0.0136	1.4602	1.6935	1.0692	0.0107	 0.0997 (0.0154)	20.61764706
NEALE2_1110.results	0.0536	0.0026	1.3306	1.4014	1.0214	0.0083	 0.0532 (0.0207)	20.61538462
SAIGE_401_1.results	0.0741	0.0036	1.5035	1.722	1.1033	0.0121	 0.143 (0.0168)	20.58333333
NEALE2_6159_100.results	0.0534	0.0026	1.3374	1.4077	1.0299	0.0082	 0.0732 (0.0201)	20.53846154
SAIGE_401.results	0.0739	0.0036	1.5035	1.7227	1.1044	0.0123	 0.1445 (0.017)	20.52777778
NEALE2_6177_2.results	0.1126	0.0055	1.3034	1.4167	1.0413	0.0097	 0.099 (0.0232)	20.47272727
NEALE2_1239.results	0.0531	0.0026	1.3203	1.3946	1.0127	0.0084	 0.0321 (0.0212)	20.42307692
NEALE2_6164_2.results	0.0469	0.0023	1.2899	1.3451	1.0132	0.0083	 0.0383 (0.024)	20.39130435
GCST007092.results	0.0428	0.0021	1.2831	1.3645	1.0021	0.0091	 0.0058 (0.025)	20.38095238
NEALE2_6159_7.results	0.0405	0.002	1.2531	1.3	1.0099	0.0073	 0.0331 (0.0244)	20.25
NEALE2_1428_1.results	0.0424	0.0021	1.2564	1.2972	0.9942	0.0085		20.19047619
GCST90025949.results	0.8137	0.0405	3.3096	8.2728	1.6424	0.0449	 0.0883 (0.0062)	20.09135802
NEALE2_136.results	0.0401	0.002	1.2831	1.3155	1.0324	0.0075	 0.1028 (0.0239)	20.05
NEALE2_816.results	0.0802	0.004	1.3	1.3493	1.0285	0.0078	 0.0815 (0.0224)	20.05
GCST006097.results	0.0459	0.0023	1.3101	1.3509	1.0148	0.0088	 0.0423 (0.025)	19.95652174
NEALE2_1980.results	0.0758	0.0038	1.4104	1.5639	1.0113	0.0082	 0.02 (0.0146)	19.94736842
NEALE2_20116_1.results	0.0517	0.0026	1.3135	1.3928	1.0267	0.009	 0.0679 (0.0229)	19.88461538
GCST90012115.results	0.0497	0.0025	1.2564	1.3201	0.9944	0.0086		19.88
GCST003496.results	0.1524	0.0077	1.3068	1.3694	1.0343	0.0086	 0.0928 (0.0232)	19.79220779
NEALE2_864.results	0.0415	0.0021	1.2365	1.2912	1.0072	0.0079	 0.0246 (0.0273)	19.76190476
NEALE2_1329.results	0.0631	0.0032	1.3546	1.473	1.0131	0.01	 0.0278 (0.0211)	19.71875
GCST007431.results	0.1912	0.0097	1.6183	2.2963	1.0435	0.0142	 0.0336 (0.0109)	19.71134021
GCST006586.results	0.0452	0.0023	1.2932	1.3583	1.0248	0.0076	 0.0692 (0.0211)	19.65217391
NEALE2_20153_raw.results	0.4144	0.0211	1.5771	2.1373	1.1344	0.0182	 0.1182 (0.016)	19.63981043
NEALE2_6177_100.results	0.102	0.0052	1.2764	1.3724	1.0377	0.0094	 0.1013 (0.0252)	19.61538462
NEALE2_1950.results	0.0608	0.0031	1.3443	1.4476	1.0216	0.0089	 0.0483 (0.02)	19.61290323
NEALE2_1970.results	0.0626	0.0032	1.3546	1.4748	1.0218	0.0097	 0.046 (0.0204)	19.5625
NEALE2_2030.results	0.0508	0.0026	1.2899	1.3583	1.0038	0.0084	 0.0106 (0.0234)	19.53846154
NEALE2_1220.results	0.0488	0.0025	1.2932	1.3517	1.0101	0.0082	 0.0288 (0.0235)	19.52
NEALE2_6149_100.results	0.0388	0.002	1.2531	1.2944	1.0146	0.0076	 0.0497 (0.0259)	19.4
NEALE2_6138_3.results	0.0445	0.0023	1.2865	1.3361	1.02	0.0086	 0.0596 (0.0255)	19.34782609
NEALE2_20116_2.results	0.0499	0.0026	1.3	1.3721	1.0144	0.0083	 0.0387 (0.0222)	19.19230769
NEALE2_1289.results	0.0383	0.002	1.2431	1.2859	1.0192	0.0075	 0.0673 (0.0263)	19.15
NEALE2_22501_raw.results	0.1454	0.0076	1.2731	1.3023	1.0405	0.0074	 0.134 (0.0246)	19.13157895
GCST007090.results	0.04	0.0021	1.2531	1.3214	0.9982	0.0083		19.04761905
NEALE2_20022_raw.results	0.0967	0.0051	1.2932	1.4389	1.0507	0.0112	 0.1156 (0.0256)	18.96078431
NEALE2_1940.results	0.0662	0.0035	1.3512	1.4695	1.0006	0.0087	 0.0014 (0.0185)	18.91428571
NEALE2_1379.results	0.0415	0.0022	1.2631	1.3231	1.0263	0.0079	 0.0814 (0.0246)	18.86363636
NEALE2_6154_3.results	0.0415	0.0022	1.2697	1.3094	1.02	0.0076	 0.0645 (0.0246)	18.86363636
NEALE2_6138_6.results	0.0433	0.0023	1.2865	1.326	1.0215	0.0089	 0.0658 (0.0274)	18.82608696
NEALE2_30520_raw.results	0.0395	0.0021	1.2365	1.2807	1.0072	0.0081	 0.0257 (0.0289)	18.80952381
NEALE2_1448_3.results	0.047	0.0025	1.3	1.3608	1.0368	0.0089	 0.1019 (0.0247)	18.8
NEALE2_6164_4.results	0.0376	0.002	1.2332	1.272	1.005	0.0083	 0.0182 (0.0304)	18.8
GCST90025996.results	0.1766	0.0094	1.7648	2.4619	1.1695	0.0218	 0.1159 (0.0149)	18.78723404
NEALE2_2110.results	0.043	0.0023	1.2697	1.308	1.0157	0.0084	 0.0508 (0.0273)	18.69565217
NEALE2_1930.results	0.0616	0.0033	1.3546	1.4547	1.0141	0.01	 0.031 (0.022)	18.66666667
NEALE2_1687.results	0.1343	0.0072	1.6334	2.0119	1.0606	0.012	 0.0599 (0.0119)	18.65277778
NEALE2_189_raw.results	0.0354	0.0019	1.2464	1.275	1.0265	0.0071	 0.0964 (0.0259)	18.63157895
NEALE2_1548.results	0.0428	0.0023	1.2564	1.3048	1.0068	0.0083	 0.0222 (0.0273)	18.60869565
NEALE2_806.results	0.076	0.0041	1.2899	1.329	1.022	0.0085	 0.067 (0.0257)	18.53658537
GCST006098.results	0.0537	0.0029	1.2531	1.3004	1.0305	0.0089	 0.1015 (0.0295)	18.51724138
NEALE2_1990.results	0.0554	0.003	1.3034	1.3991	1.0004	0.0087	 0.0009 (0.0218)	18.46666667
NEALE2_2375.results	0.1237	0.0067	1.2899	1.4304	1.0423	0.0099	 0.0983 (0.023)	18.46268657
NEALE2_2247_1.results	0.0406	0.0022	1.2431	1.3021	1.0197	0.0083	 0.0651 (0.0275)	18.45454545
NEALE2_1488_raw.results	0.0535	0.0029	1.2932	1.3883	1.0107	0.0086	 0.0276 (0.0222)	18.44827586
NEALE2_2247_0.results	0.0405	0.0022	1.2431	1.302	1.0199	0.0083	 0.066 (0.0274)	18.40909091
NEALE2_5085_raw.results	0.2687	0.0147	1.3101	1.4557	1.0544	0.0097	 0.1194 (0.0212)	18.27891156
NEALE2_6164_1.results	0.0365	0.002	1.2398	1.2857	1.0312	0.007	 0.1092 (0.0245)	18.25
NEALE2_5263_raw.results	0.1877	0.0103	1.2168	1.3151	1.0309	0.009	 0.0981 (0.0285)	18.22330097
NEALE2_1299.results	0.0437	0.0024	1.2431	1.3005	1.0104	0.0072	 0.0348 (0.0241)	18.20833333
NEALE2_5084_raw.results	0.2692	0.0148	1.3203	1.4536	1.0527	0.0091	 0.1163 (0.0201)	18.18918919
GCST005194.results	0.1083	0.006	1.3754	1.6228	0.9993	0.0109		18.05
