MVA	input_study	expected_rgs	expected_h2	input_h2	rg	MVA_h2_obs	MVA_h2_int	Total.Observed.scale.h2	Intercept
104	GCST005327	1.003034303	0.154995969	0.1071	1.0347	0.1145	1.2093	0.1995	1.1476
104	GCST006940	0.986102427	0.154995969	0.1046	0.9692	0.1217	1.0606	0.1995	1.1476
104	NEALE2_20127_raw	0.996611273	0.154995969	0.113	0.9744	0.1356	1.0542	0.1995	1.1476
105	GCST003839	-0.988363329	0.092414649	0.0555	-1.0032	0.0553	1.02	0.0943	1.0733
105	GCST006686	0.966676542	0.092414649	0.0483	0.9611	0.0494	1.0039	0.0943	1.0733
105	NEALE2_1160	-1.000950854	0.092414649	0.0704	-1.0113	0.0705	1.0194	0.0943	1.0733
106	NEALE2_6143_4	0.989487073	0.041506088	0.0316	0.9905	0.0316	1.0141	0.0416	1.0484
106	NEALE2_6162_4	0.983614027	0.041506088	0.0255	0.9829	0.0255	1.0224	0.0416	1.0484
108	GCST005811	1.000363132	0.052579824	0.0623	1.0067	0.0625	1.011	0.0592	1.0451
108	GCST90038686	0.998055321	0.052579824	0.0153	0.9457	0.0151	1.0117	0.0592	1.0451
108	NEALE2_20002_1465	0.998553291	0.052579824	0.0195	0.9969	0.0196	1.0229	0.0592	1.0451
11	NEALE2_6146_100	-1.00016352	0.034258589	0.0329	-1.0001	0.033	1.0066	0.0342	1.0437
11	NEALE2_6146_2	0.988627487	0.034258589	0.0274	0.9888	0.0274	0.9976	0.0342	1.0437
11	NEALE2_6146_3	0.98271509	0.034258589	0.023	0.9828	0.023	1.0088	0.0342	1.0437
110	GCST003498	0.987737857	0.339729442	0.1985	1.0079	0.2027	1.0235	0.3418	1.0555
110	GCST004364	-0.960509492	0.339729442	0.1869	-0.9509	0.1885	1.0104	0.3418	1.0555
110	GCST006250	1.00812785	0.339729442	0.1805	1.0159	0.1888	1.034	0.3418	1.0555
110	GCST006572	0.994763677	0.339729442	0.1922	0.9968	0.2005	0.9988	0.3418	1.0555
110	NEALE2_20016_raw	0.996773325	0.339729442	0.226	1.0057	0.2307	1.0319	0.3418	1.0555
110	NEALE2_4990	0.914557006	0.339729442	0.091	0.9077	0.0924	0.9999	0.3418	1.0555
111	GCST90002396	0.997542994	0.348656022	0.2464	1.0003	0.4193	1.0959	0.41	1.278
111	GCST90025975	0.999735657	0.348656022	0.3939	0.9996	0.3975	1.0886	0.41	1.278
111	NEALE2_30260_raw	0.999033353	0.348656022	0.1664	1.0011	0.2768	1.0789	0.41	1.278
113	GCST004608	-0.968483192	0.267525172	0.1669	-0.9644	0.1563	1.0182	0.2655	1.1537
113	GCST004609	0.996317499	0.267525172	0.1814	0.997	0.1675	1.0362	0.2655	1.1537
113	GCST90002394	0.997664543	0.267525172	0.2085	0.9986	0.1878	1.3503	0.2655	1.1537
113	NEALE2_30190_raw	0.994107606	0.267525172	0.0998	0.9942	0.0917	1.1393	0.2655	1.1537
115	NEALE2_20490	0.97520584	0.045551487	0.0266	0.2627	0.0266	1.0063	0.0032	0.897
115	NEALE2_20531	0.988859225	0.045551487	0.039	-0.1152	0.039	0.996	0.0032	0.897
120	GCST004601	1.001994595	0.3502911	0.1874	1.01	0.3021	0.978	0.4639	1.3195
120	GCST90002363	0.996880058	0.3502911	0.2135	0.9978	0.3621	1.192	0.4639	1.3195
120	GCST90002403	0.998038123	0.3502911	0.2344	1.0006	0.3951	1.171	0.4639	1.3195
120	GCST90025964	0.999522202	0.3502911	0.3943	1.0012	0.4147	1.1905	0.4639	1.3195
120	NEALE2_30010_raw	0.992134681	0.3502911	0.1906	0.9951	0.3133	1.1152	0.4639	1.3195
121	GCST000759	0.984793119	0.287078569	0.1195	1.0039	0.1026	0.9284	0.2767	0.9241
121	GCST000760	0.968414893	0.287078569	0.1339	0.9914	0.1273	0.8976	0.2767	0.9241
121	GCST90002412	0.96784212	0.287078569	0.2203	0.9625	0.1767	1.3637	0.2767	0.9241
122	FINNGEN_R6_M13_SPINSTENOSIS	0.981484514	0.046310116	0.0217	0.9866	0.0217	1.051	0.0471	1.037
122	FINNGEN_R6_M13_SPONDYLOPATHY	1.01256493	0.046310116	0.0228	1.0357	0.023	1.0955	0.0471	1.037
122	SAIGE_720	0.966188981	0.046310116	0.0088	0.9924	0.0015	0.0071	0.0471	1.037
122	SAIGE_721	0.969363394	0.046310116	0.0098	0.9985	0.0012	0.0065	0.0471	1.037
122	SAIGE_722	1.008928591	0.046310116	0.0097	1.0745	0.0012	0.0063	0.0471	1.037
122	SAIGE_760	0.957028061	0.046310116	0.0117	0.9522	0.0014	0.0071	0.0471	1.037
123	FINNGEN_R6_COX_ARTHROSIS	1.014107633	0.050474817	0.0212	1.0171	0.0213	1.0735	0.0504	1.0272
123	FINNGEN_R6_M13_ARTHTROSIS_COX	1.009911243	0.050474817	0.0261	1.0191	0.0263	1.0698	0.0504	1.0272
123	FINNGEN_R6_M13_ARTHTROSIS_COX_PRIM_ICD10	0.998743498	0.050474817	0.0167	0.9928	0.0168	1.0687	0.0504	1.0272
123	GCST007091	0.958963472	0.050474817	0.0319	0.9526	0.0324	0.9843	0.0504	1.0272
123	SAIGE_740	0.9532394	0.050474817	0.024	0.957	0.0243	1.0239	0.0504	1.0272
123	SAIGE_740_1	0.982332083	0.050474817	0.0205	1.0203	0.0206	1.0175	0.0504	1.0272
124	GCST004627	0.99949151	0.299986079	0.174	0.9976	0.2658	0.9639	0.3798	1.284
124	GCST90002316	0.994927406	0.299986079	0.1926	0.9937	0.2967	1.2239	0.3798	1.284
124	GCST90002388	0.998890256	0.299986079	0.2103	0.9979	0.3256	1.1885	0.3798	1.284
124	GCST90025984	1.000308513	0.299986079	0.2957	1.0021	0.3142	1.1691	0.3798	1.284
124	NEALE2_30120_raw	0.963210093	0.299986079	0.0498	0.975	0.0709	1.0549	0.3798	1.284
127	GCST011494	0.999798751	0.087704852	0.0813	0.9998	0.0033	0.011	0.0873	1.0539
127	NEALE2_1190	0.999801205	0.087704852	0.0818	0.9999	0.0035	0.0096	0.0873	1.0539
129	SAIGE_599	0.970030515	0.011887672	0.0071	0.2187	0.0071	0.8677	0.0013	0.7815
129	SAIGE_599_4	0.989679434	0.011887672	0.0118	-0.1524	0.0118	1.0029	0.0013	0.7815
13	NEALE2_20499	0.999516784	0.084983444	0.0643	0.9976	0.0644	1.0101	0.0846	1.0417
13	NEALE2_20547_1	0.988502824	0.084983444	0.0498	0.9894	0.0498	1.0021	0.0846	1.0417
13	NEALE2_2100	0.950011671	0.084983444	0.031	0.9529	0.031	1.0035	0.0846	1.0417
130	NEALE2_20003_1140871310	0.999251609	0.019597956	0.0156	0.9993	0.0156	1.0029	0.0196	1.0176
130	NEALE2_6154_2	0.999575297	0.019597956	0.0207	0.9996	0.0207	1.0011	0.0196	1.0176
132	GCST90000025	0.999572869	0.510935346	0.3359	0.9999	1.3067	1.2634	0.4985	1.412
132	GCST90000026	0.980570189	0.510935346	0.351	0.9797	0.3919	1.12	0.4985	1.412
132	GCST90000027	0.984599026	0.510935346	0.3704	0.984	0.4106	1.1748	0.4985	1.412
133	GCST90007526	0.990854941	0.056713028	0.0431	0.989	0.044	0.9923	0.057	1.0745
133	GCST90007527	0.999177295	0.056713028	0.0604	1.0003	0.0615	0.9936	0.057	1.0745
133	GCST90007529	1.001760657	0.056713028	0.0208	1.0047	0.0212	1.0403	0.057	1.0745
133	GCST90007530	0.99400393	0.056713028	0.0282	0.9964	0.0289	1.0231	0.057	1.0745
134	FINNGEN_R6_E4_NUTRIDEF	1.016077138	0.331516223	0.0229	1.0791	0.0044	0.0111	0.3541	0.9492
134	FINNGEN_R6_E4_OBESITY	1.014800535	0.331516223	0.0269	1.0474	0.0051	0.0114	0.3541	0.9492
134	FINNGEN_R6_E4_OBESITY_HYPER	1.01374601	0.331516223	0.0272	1.045	0.005	0.0115	0.3541	0.9492
134	GCST002783	0.963896847	0.331516223	0.1327	0.9695	0.1656	0.6758	0.3541	0.9492
134	GCST90025994	0.996733853	0.331516223	0.2847	0.992	0.3111	1.0562	0.3541	0.9492
134	NEALE2_20536_1	0.841058206	0.331516223	0.0566	0.8671	0.0145	0.0103	0.3541	0.9492
134	NEALE2_21001_raw	0.99643019	0.331516223	0.2276	0.9983	0.2742	1.0386	0.3541	0.9492
134	NEALE2_23104_raw	0.996021172	0.331516223	0.2278	0.9968	0.275	1.035	0.3541	0.9492
134	SAIGE_278	0.937444504	0.331516223	0.0242	0.9515	0.0031	0.0114	0.3541	0.9492
134	SAIGE_278_1	0.941532928	0.331516223	0.0238	0.9579	0.0031	0.0114	0.3541	0.9492
137	GCST004600	0.995676129	0.235022907	0.1627	0.9952	0.1766	0.962	0.2327	1.1112
137	GCST004617	0.994273998	0.235022907	0.1593	0.9938	0.1727	0.9597	0.2327	1.1112
137	GCST004623	-0.984656461	0.235022907	0.1487	-0.9844	0.1612	0.9583	0.2327	1.1112
137	GCST90002382	0.994291271	0.235022907	0.1867	0.9901	0.1973	1.1916	0.2327	1.1112
137	NEALE2_30210_raw	0.985324649	0.235022907	0.1331	0.9843	0.1437	1.0883	0.2327	1.1112
139	FINNGEN_R6_FG_DISVEINLYMPH	0.973733345	0.058969377	0.0391	0.9437	0.0376	1.1025	0.0611	1.1201
139	FINNGEN_R6_I9_DISVEINLYMPH	0.999664982	0.058969377	0.0247	1.0386	0.0232	1.1652	0.0611	1.1201
139	FINNGEN_R6_I9_VARICVE	0.990122959	0.058969377	0.0288	1.0387	0.0272	1.1705	0.0611	1.1201
139	SAIGE_454	0.996501802	0.058969377	0.0257	1.0386	0.0245	1.0337	0.0611	1.1201
139	SAIGE_454_1	1.000706914	0.058969377	0.0257	1.0529	0.0244	1.0367	0.0611	1.1201
141	GCST90007528	0.95708741	0.140464841	0.0337	0.9649	0.0042	0.0067	0.1414	1.0856
141	NEALE2_46_raw	-0.994307519	0.140464841	0.1149	-0.9933	0.1189	1.0434	0.1414	1.0856
141	NEALE2_47_raw	-0.993427711	0.140464841	0.1148	-0.9929	0.1189	1.0511	0.1414	1.0856
145	SAIGE_594	0.995866037	0.013279115	0.0129	-0.0777	0.0127	1.0034	0.0003	0.8332
145	SAIGE_594_1	0.991212857	0.013279115	0.0089	0.1847	0.0087	1.003	0.0003	0.8332
149	NEALE2_20508	0.988335513	0.052414833	0.0386	0.1461	0.0386	0.9974	0.0028	0.8853
149	NEALE2_20514	0.988580631	0.052414833	0.039	-0.1452	0.039	0.9992	0.0028	0.8853
15	NEALE2_4260	1	0.119285515	0.0961	NA	0.096	1.0121	-0.0065	0.8144
15	NEALE2_4282	1	0.119285515	0.119	NA	0.1191	1.0175	-0.0065	0.8144
15	NEALE2_4283	1	0.119285515	0.0962	NA	0.0962	1.0119	-0.0065	0.8144
150	GCST90000048	0.978024603	0.146202582	0.0718	0.9766	0.073	1.0398	0.1465	1.0814
150	GCST90000050	0.976434838	0.146202582	0.0546	0.9739	0.0556	1.0278	0.1465	1.0814
150	NEALE2_2754_raw	0.989435164	0.146202582	0.1698	0.9906	0.1721	1.0349	0.1465	1.0814
150	NEALE2_2764_raw	0.96103441	0.146202582	0.0913	0.9625	0.0924	1.0176	0.1465	1.0814
153	FINNGEN_R6_MIGRAINE_TRIPTAN	1	0.069812311	0.0167	1.0022	0.0025	0.0087	0.0701	0.9906
153	NEALE2_3799	1	0.069812311	0.0555	1.0011	0.0556	1.0041	0.0701	0.9906
155	FINNGEN_R6_G6_CARPTU	1	0.038148272	0.0225	NA	0.0224	1.0985	-0.0022	1.1191
155	SAIGE_351	1	0.038148272	0.0182	NA	0.0183	1.0107	-0.0022	1.1191
157	NEALE2_102_raw	1	0.181275546	0.1411	1.002	0.1469	1.0468	0.1817	1.0848
157	NEALE2_4194_raw	1	0.181275546	0.1266	1.0014	0.1272	1.0221	0.1817	1.0848
16	GCST90000292	0.991312127	0.263280919	0.2163	0.9906	0.2178	1.009	0.2623	1.0535
16	GCST90000293	0.997648089	0.263280919	0.2168	0.9977	0.2175	1.0042	0.2623	1.0535
16	GCST90000294	0.977967748	0.263280919	0.2005	0.9776	0.2011	1.0004	0.2623	1.0535
160	NEALE2_20150_raw	0.977789854	0.222844734	0.1982	0.9778	0.2096	1.076	0.2209	1.205
160	NEALE2_20151_raw	0.981440845	0.222844734	0.2187	0.9815	0.232	1.0966	0.2209	1.205
160	NEALE2_3062_raw	0.979464973	0.222844734	0.1753	0.9794	0.1857	1.0983	0.2209	1.205
160	NEALE2_3063_raw	0.980590294	0.222844734	0.1759	0.9805	0.1856	1.082	0.2209	1.205
161	NEALE2_6159_100	-0.987212192	0.058895217	0.0534	0.1632	0.0538	1.0279	0.0061	0.947
161	NEALE2_6159_3	0.963049024	0.058895217	0.0324	0.2697	0.0019	0.0071	0.0061	0.947
162	GCST006950	0.996441692	0.078823686	0.072	NA	NA	NA	0.0092	0.866
162	GCST006950	0.996441692	0.078823686	0.072	NA	NA	NA	0.0092	0.866
162	NEALE2_1980	0.99679234	0.078823686	0.0758	NA	NA	NA	0.0092	0.866
162	NEALE2_1980	0.99679234	0.078823686	0.0758	NA	NA	NA	0.0092	0.866
163	GCST90025968	0.978558685	0.295495344	0.2411	0.9896	0.2544	1.162	0.3343	1.0772
163	NEALE2_4080_raw	1.005587513	0.295495344	0.1337	1.0197	0.1642	1.0912	0.3343	1.0772
163	NEALE2_93_raw	0.956766543	0.295495344	0.1296	0.9951	0.0409	0.0179	0.3343	1.0772
164	GCST90002397	0.997422873	0.401853993	0.3078	1.0009	0.5168	1.1572	0.4801	1.3284
164	GCST90025976	1.000937116	0.401853993	0.4105	1.0005	0.4064	1.148	0.4801	1.3284
164	NEALE2_30270_raw	0.992766656	0.401853993	0.1743	0.9958	0.2832	1.0925	0.4801	1.3284
165	GCST90000515	0.999990717	0.292778785	0.3095	NA	NA	NA	6.44E-05	0.9826
165	GCST90000515	0.999990717	0.292778785	0.3095	NA	NA	NA	6.44E-05	0.9826
165	SAIGE_530_12	0.987293841	0.292778785	0.0085	NA	NA	NA	6.44E-05	0.9826
165	SAIGE_530_12	0.987293841	0.292778785	0.0085	NA	NA	NA	6.44E-05	0.9826
166	NEALE2_6143_1	0.97781942	0.038342049	0.025	0.1771	0.025	1.0166	0.0036	0.9118
166	NEALE2_6143_3	-0.985771534	0.038342049	0.0309	0.203	0.0309	1.0148	0.0036	0.9118
168	NEALE2_2724	1	0.147551636	0.0385	NA	0.0393	1.0048	-0.0022	1.063
168	NEALE2_3581_raw	-1	0.147551636	0.116	NA	0.1173	1.0055	-0.0022	1.063
169	GCST90013405	0.974033248	0.176738011	0.1182	0.7004	0.0242	0.0385	0.0879	0.6864
169	GCST90025979	0.992050763	0.176738011	0.2088	0.4057	0.0266	0.0419	0.0879	0.6864
17	FINNGEN_R6_E4_DM2NASCOMP	1.020352928	0.197798878	0.0424	1.0038	0.0535	1.1527	0.2057	0.9346
17	FINNGEN_R6_T2D_WIDE	1.021576942	0.197798878	0.0264	1.0332	0.0037	0.013	0.2057	0.9346
17	GCST005047	0.98253724	0.197798878	0.0984	0.9628	0.0925	0.9659	0.2057	0.9346
17	GCST005413	0.981879779	0.197798878	0.0999	0.9446	0.0958	1.0092	0.2057	0.9346
17	GCST006867	0.978076976	0.197798878	0.0449	0.9865	0.0458	1.0528	0.2057	0.9346
17	NEALE2_20003_1140874744	1.01435269	0.197798878	0.0103	1.0887	0.0016	0.0089	0.2057	0.9346
17	NEALE2_20107_9	0.901932149	0.197798878	0.0173	0.8799	0.0023	0.0091	0.2057	0.9346
17	NEALE2_20110_9	0.952477193	0.197798878	0.0201	0.9744	0.002	0.0101	0.2057	0.9346
17	NEALE2_20111_9	0.890606933	0.197798878	0.0203	0.8752	0.0023	0.0091	0.2057	0.9346
17	NEALE2_2443	0.963917016	0.197798878	0.0435	0.9896	0.0425	1.0468	0.2057	0.9346
177	NEALE2_5084_raw	1.000148279	0.273300436	0.2692	1.0014	0.2695	1.0523	0.2735	1.0783
177	NEALE2_5085_raw	0.999587477	0.273300436	0.2687	1.0007	0.0157	0.0116	0.2735	1.0783
177	NEALE2_6147_1	-0.933597903	0.273300436	0.0261	-0.9331	0.0258	1.0737	0.2735	1.0783
18	FINNGEN_R6_FG_CEREBVASC	0.993724069	0.076651168	0.0253	0.9909	0.0035	0.0084	0.0806	1.2378
18	FINNGEN_R6_FG_CVD	1.002780272	0.076651168	0.027	1.0488	0.0269	1.1276	0.0806	1.2378
18	FINNGEN_R6_FG_DOAAC	0.980911081	0.076651168	0.0286	0.9659	0.004	0.008	0.0806	1.2378
18	FINNGEN_R6_FG_HYPERTENSION	0.992424066	0.076651168	0.0591	1.0132	0.058	1.1851	0.0806	1.2378
18	FINNGEN_R6_FG_OTHHEART	0.992679867	0.076651168	0.0286	1.0039	0.0284	1.0741	0.0806	1.2378
18	FINNGEN_R6_I9_CVD	1.00330618	0.076651168	0.0233	1.0368	0.0232	1.1277	0.0806	1.2378
18	FINNGEN_R6_I9_HEARTFAIL_AND_ANTIHYPERT	1.002205994	0.076651168	0.0499	1.0562	0.0496	1.0549	0.0806	1.2378
18	FINNGEN_R6_I9_HEARTFAIL_AND_OVERWEIGHT	1.001786329	0.076651168	0.0132	1.0404	0.0021	0.0082	0.0806	1.2378
18	FINNGEN_R6_I9_HYPTENSESS	0.998815791	0.076651168	0.0453	1.0327	0.0442	1.192	0.0806	1.2378
18	FINNGEN_R6_RX_ANTIHYP	0.999373682	0.076651168	0.0475	1.0437	0.0464	1.2392	0.0806	1.2378
180	NEALE2_23107_raw	0.999290095	0.228111998	0.2171	0.0449	0.2313	1.1014	0.0042	0.9169
180	NEALE2_23108_raw	0.999309349	0.228111998	0.2201	-0.0223	0.2346	1.089	0.0042	0.9169
181	NEALE2_24003_raw	0.994418135	0.015258065	0.0157	-0.1076	0.0157	1.0331	0.0035	0.7725
181	NEALE2_24004_raw	0.992412447	0.015258065	0.0135	0.1205	0.0135	1.0212	0.0035	0.7725
182	GCST90013410	0.995042982	0.033642503	0.035	0.9962	0.0355	1.0267	0.0331	1.079
182	SAIGE_172	0.984089658	0.033642503	0.0182	0.9832	0.0188	1.0123	0.0331	1.079
182	SAIGE_172_2	0.998094747	0.033642503	0.0192	0.9976	0.0194	1.0091	0.0331	1.079
189	FINNGEN_R6_M13_INTERVERTEB	0.997347233	0.039386784	0.0289	0.9925	0.0292	1.0884	0.0387	1.0295
189	GCST90038653	0.983199677	0.039386784	0.0143	0.9872	0.0144	1.0038	0.0387	1.0295
189	GCST90038697	0.998022896	0.039386784	0.0074	1.048	0.0013	0.0065	0.0387	1.0295
19	NEALE2_5556	0.99441427	0.212985384	0.1557	0.9925	0.1555	1.0068	0.211	0.9818
19	NEALE2_6138_2	0.995994477	0.212985384	0.0905	0.9965	0.0924	1.0413	0.211	0.9818
19	NEALE2_6138_3	0.934363722	0.212985384	0.0445	0.9385	0.0448	1.0185	0.211	0.9818
193	NEALE2_1873	1	0.028931092	0.015	NA	0.015	1.0118	-0.0007	1.0664
193	NEALE2_1883	1	0.028931092	0.0162	NA	0.0162	1.0129	-0.0007	1.0664
196	SAIGE_728	0.997291425	0.020033699	0.0168	0.9974	0.0117	1.0384	0.0201	1.0104
196	SAIGE_728_7	1.00088684	0.020033699	0.0187	1.0009	0.0124	1.0351	0.0201	1.0104
196	SAIGE_728_71	0.998252597	0.020033699	0.0206	0.9982	0.0141	1.0315	0.0201	1.0104
199	FINNGEN_R6_O15_ABORT_MEDICAL	1	0.032561308	0.0341	NA	0.0342	1.0426	-0.0046	0.8177
199	FINNGEN_R6_O15_PREG_ABORT	1	0.032561308	0.0233	NA	0.0233	1.0313	-0.0046	0.8177
2	NEALE2_5096_raw	0.992806791	0.416998767	0.35	0.9927	0.3284	1.0803	0.4163	1.1097
2	NEALE2_5097_raw	0.994822464	0.416998767	0.3745	0.9948	0.3566	1.0767	0.4163	1.1097
2	NEALE2_5098_raw	0.995578457	0.416998767	0.3679	0.9955	0.35	1.0814	0.4163	1.1097
2	NEALE2_5099_raw	0.993577205	0.416998767	0.3487	0.9935	0.3267	1.0849	0.4163	1.1097
2	NEALE2_5132_raw	0.990508003	0.416998767	0.3359	0.9906	0.3108	1.0897	0.4163	1.1097
2	NEALE2_5133_raw	0.996171955	0.416998767	0.3633	0.9963	0.3427	1.0857	0.4163	1.1097
2	NEALE2_5134_raw	0.993816681	0.416998767	0.3644	0.9939	0.3452	1.0843	0.4163	1.1097
2	NEALE2_5135_raw	0.990608696	0.416998767	0.333	0.9908	0.31	1.0824	0.4163	1.1097
20	FINNGEN_R6_I9_HYPTENS	1.015413534	0.196046645	0.0503	1.0665	0.0486	1.2403	0.1943	1.0622
20	NEALE2_20003_1140860696	0.990979139	0.196046645	0.0131	0.9924	0.0015	0.0077	0.1943	1.0622
20	NEALE2_20003_1140860806	0.954505547	0.196046645	0.0171	0.9584	0.0017	0.0078	0.1943	1.0622
20	NEALE2_20003_1140866738	1.010108677	0.196046645	0.0162	1.0216	0.0018	0.0078	0.1943	1.0622
20	NEALE2_20003_1140879802	0.968392376	0.196046645	0.0225	0.9667	0.0224	1.01	0.1943	1.0622
20	NEALE2_20003_1141194794	0.974964091	0.196046645	0.0303	0.9727	0.0298	1.0232	0.1943	1.0622
20	NEALE2_6150_4	0.987371041	0.196046645	0.1188	0.9899	0.1199	1.0706	0.1943	1.0622
20	NEALE2_6153_2	0.985365345	0.196046645	0.1098	0.9859	0.1097	1.0359	0.1943	1.0622
20	NEALE2_6177_2	0.979819288	0.196046645	0.1126	0.9812	0.1123	1.0411	0.1943	1.0622
20	SAIGE_401_1	0.974870403	0.196046645	0.0741	0.9696	0.0744	1.101	0.1943	1.0622
203	FINNGEN_R6_H7_CATARACTSENILE	1	0.029699037	0.0167	NA	0.016	1.0491	-0.0011	1.0366
203	FINNGEN_R6_H7_LENS	1	0.029699037	0.019	NA	0.0183	1.039	-0.0011	1.0366
203	SAIGE_366	1	0.029699037	0.0152	NA	0.0146	1.0197	-0.0011	1.0366
204	GCST007431	0.999777136	0.294722776	0.1912	0.7813	0.0197	0.027	0.0143	0.8779
204	GCST90025978	0.99990847	0.294722776	0.2983	0.76	0.3403	1.0818	0.0143	0.8779
205	GCST004772	1	0.432606914	0.4256	1.1302	0.4313	0.9779	0.602	0.9652
205	GCST005345	-1	0.432606914	0.3489	-1.1791	0.3777	0.962	0.602	0.9652
206	GCST004603	1.001348462	0.469783622	0.2405	1.0031	0.3539	0.9865	0.5956	1.3044
206	GCST90002357	0.996178212	0.469783622	0.2654	0.9949	0.4018	1.3083	0.5956	1.3044
206	GCST90002402	0.998099774	0.469783622	0.2785	0.9992	0.4238	1.2384	0.5956	1.3044
206	GCST90025951	0.999104088	0.469783622	0.5503	1.0006	0.515	1.3387	0.5956	1.3044
206	NEALE2_30080_raw	0.99108331	0.469783622	0.2354	0.9927	0.3634	1.1365	0.5956	1.3044
207	FINNGEN_R6_HYPOTHY_LEVOTHY	0.992786001	0.118855197	0.0746	0.9882	0.077	1.0559	0.1154	1.0409
207	FINNGEN_R6_HYPOTHY_PURCHASE	0.992786001	0.118855197	0.0746	0.9882	0.077	1.0559	0.1154	1.0409
207	FINNGEN_R6_HYPOTHYROIDISM	0.991121168	0.118855197	0.0752	0.987	0.0777	1.0592	0.1154	1.0409
207	GCST90038635	0.966717244	0.118855197	0.0436	0.9702	0.0469	1.038	0.1154	1.0409
207	GCST90038637	0.961443137	0.118855197	0.0461	0.9628	0.0494	1.0331	0.1154	1.0409
207	NEALE2_20002_1226	1.00077719	0.118855197	0.0453	1.0051	0.0485	1.041	0.1154	1.0409
207	NEALE2_20003_1141191044	1.003870757	0.118855197	0.0335	1.0022	0.0358	1.026	0.1154	1.0409
207	SAIGE_244	1.002506009	0.118855197	0.028	1.0134	0.0299	1.0153	0.1154	1.0409
207	SAIGE_244_4	1.001778805	0.118855197	0.0288	1.0095	0.0307	1.0172	0.1154	1.0409
209	GCST006945	0.998745377	0.053452938	0.0486	0.9989	0.0488	1.0101	0.0535	1.0219
209	NEALE2_2030	0.998851998	0.053452938	0.0508	0.9987	0.0513	1.0012	0.0535	1.0219
211	SAIGE_418	0.993018327	0.023956675	0.0221	0.9938	0.0221	1.0191	0.0239	1.0108
211	SAIGE_459	0.9882579	0.023956675	0.0091	0.9873	0.0087	1.0199	0.0239	1.0108
211	SAIGE_459_9	0.990972275	0.023956675	0.0091	0.9904	0.0087	1.0212	0.0239	1.0108
212	NEALE2_24007_raw	0.998639697	0.023426383	0.0097	1.0082	0.0015	0.0061	0.0235	1.1274
212	NEALE2_24016_raw	0.997848223	0.023426383	0.0214	0.9984	0.0214	1.0575	0.0235	1.1274
212	NEALE2_24017_raw	0.992970868	0.023426383	0.0203	0.9945	0.0203	1.0502	0.0235	1.1274
212	NEALE2_24018_raw	0.996880798	0.023426383	0.0231	0.996	0.0231	1.0757	0.0235	1.1274
212	NEALE2_24019_raw	0.975113361	0.023426383	0.0195	0.9737	0.0195	1.1525	0.0235	1.1274
213	NEALE2_5256_raw	0.984926534	0.182720365	0.1348	-0.1896	0.131	1.0288	0.0165	0.9383
213	NEALE2_5264_raw	0.978013865	0.182720365	0.1126	0.2143	0.1097	1.0217	0.0165	0.9383
215	NEALE2_20479	0.995345825	0.076743418	0.0739	-0.1018	0.074	1.0075	0.0042	0.8903
